filed_date,days_after_act,accession,form,issuer_cik,issuer_name,owner_cik,owner_name,roles,officer_title,pre_act_fpi_forms,earliest_pre_act_fpi_filing,agent_prefix
2026-04-30,43,0001213900-26-050051,3,0001795251,Nano-X Imaging Ltd.,0001303873,Suesskind Dan S,Director,,20-F; 6-K,2025-02-25,0001213900
2026-04-30,43,0001213900-26-049664,3,0001877971,POMDOCTOR Ltd,0002123078,Bao Wenqing,Director,,6-K,2025-12-03,0001213900
2026-04-30,43,0001213900-26-050607,3,0001949257,Radiopharm Theranostics Ltd,0002125949,Laurita Aaron James,Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-01-10,0001213900
2026-04-30,43,0001213900-26-049956,3,0001716770,Wah Fu Education Group Ltd,0002127792,Ai Shuting,CFO,CFO,20-F; 6-K,2025-01-21,0001213900
2026-04-29,42,0001764572-26-000001,3,0001131343,ALTERITY THERAPEUTICS LTD,0001764572,Cunningham Ann Michelle,Director,,20-F; 6-K,2025-01-06,0001764572
2026-04-29,42,0002129331-26-000001,3,0001944552,Adlai Nortye Ltd.,0002129331,Ji Ping,Director,,20-F; 6-K,2025-02-14,0002129331
2026-04-29,42,0001193125-26-191876,3,0001978954,BBB FOODS INC,0002128741,Erdogmus Halil,Director,,20-F; 6-K,2025-02-03,0001193125
2026-04-29,42,0001493152-26-019671,3/A,0001862935,Currenc Group Inc.,0002075698,Eng Wan Lung,Director; Chief Financial Officer,Chief Financial Officer,6-K,2025-07-07,0001493152
2026-04-29,42,0001493152-26-019674,3/A,0001862935,Currenc Group Inc.,0002036996,Kong Alexander King Ong,Director; Chief Executive Officer,Chief Executive Officer,6-K,2025-07-07,0001493152
2026-04-29,42,0001185185-26-001593,3,0001958133,Decent Holding Inc.,0002131176,Sun Dingxin,Director; 10% Owner,,20-F; 6-K,2025-01-24,0001185185
2026-04-29,42,0001493152-26-019492,3,0002005569,Empro Group Inc.,0002126371,Chin Gan Keat,Director; Chief Operating Officer,Chief Operating Officer,6-K,2025-07-03,0001493152
2026-04-29,42,0001493152-26-019490,3,0002005569,Empro Group Inc.,0002126975,Neoh Siew Lian,Director,,6-K,2025-07-03,0001493152
2026-04-29,42,0001493152-26-019449,3,0001957001,Fenbo Holdings Ltd,0002129783,Wang Xuefei XW,Director; Chief Financial Officer; 10% Owner,Chief Financial Officer,20-F; 6-K,2025-01-24,0001493152
2026-04-29,42,0001213900-26-048941,3,0001928948,High-Trend International Group,0002121205,Xia Zi,Director; Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-01-03,0001213900
2026-04-29,42,0001213900-26-049259,3,0001660046,Immuron Ltd,0002127819,Joughin Jeannette Anne,Director,,20-F; 6-K,2025-01-08,0001213900
2026-04-29,42,0001213900-26-049262,3,0001660046,Immuron Ltd,0002125338,Kanellos Jerry,Chief Scientific Officer,Chief Scientific Officer,20-F; 6-K,2025-01-08,0001213900
2026-04-29,42,0001213900-26-049260,3,0001660046,Immuron Ltd,0002125949,Laurita Aaron James,Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-01-08,0001213900
2026-04-29,42,0001213900-26-049258,3,0001660046,Immuron Ltd,0002124316,Lydeamore Steven George,Chief Executive Officer,Chief Executive Officer,20-F; 6-K,2025-01-08,0001213900
2026-04-29,42,0001213900-26-049254,3,0001660046,Immuron Ltd,0002131385,Savarirayan Ravi,Director,,20-F; 6-K,2025-01-08,0001213900
2026-04-29,42,0001104659-26-051596,3,0001962746,Lotus Technology Inc.,0002131599,Yu Ning Nathan,Director,,20-F; 6-K,2025-01-14,0001104659
2026-04-29,42,0001213900-26-048797,3,0001345099,MESOBLAST LTD,0002132092,COBLEY LYNETTE ELIZABETH,Director,,20-F; 6-K,2025-01-16,0001213900
2026-04-29,42,0001292814-26-002685,3,0001119639,PETROBRAS - PETROLEO BRASILEIRO SA,0002132041,Mello Guilherme Santos,Director,,20-F; 6-K,2025-01-10,0001292814
2026-04-29,42,0002125096-26-000001,3,0001951229,Reitar Logtech Holdings Ltd,0002125096,Siu Chun Pong Raymond,Director,,20-F; 6-K,2025-01-28,0002125096
2026-04-29,42,0002023157-26-000002,3/A,0001987240,SCHMID Group N.V.,0002023157,Schmid Anette,Director; 10% Owner,,20-F; 6-K,2025-05-21,0002023157
2026-04-29,42,0002125050-26-000002,3/A,0001987240,SCHMID Group N.V.,0002125050,Schmid Christian Mathias,Director; Chief Executive Officer; 10% Owner,Chief Executive Officer,20-F; 6-K,2025-05-21,0002125050
2026-04-29,42,0001493152-26-019585,3,0001992818,ZOOZ Strategy Ltd.,0002130289,Smadja Rousso Ruth,CHIEF FINANCIAL OFFICER,CHIEF FINANCIAL OFFICER,20-F; 6-K,2025-02-26,0001493152
2026-04-28,41,0001292814-26-002629,3,0001432364,AZUL SA,0002119103,Garcia Antonio Carlos,Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-01-03,0001292814
2026-04-28,41,0001213900-26-048665,3,0001871983,Anghami Inc,0001965257,Maroun Edgard,Director,,20-F; 6-K,2025-02-07,0001213900
2026-04-28,41,0002130679-26-000001,3,0001013131,BUENAVENTURA MINING CO INC,0002130679,BERNEX WEISS DE FALEN Nicole Edel Laure Marie,Director,,20-F; 6-K,2025-01-02,0002130679
2026-04-28,41,0001493152-26-019437,3,0001957413,Digital Currency X Technology Inc.,0002131380,Chen Melissa N,Director; Chief Executive Officer,Chief Executive Officer,20-F; 6-K,2025-01-10,0001493152
2026-04-28,41,0002131263-26-000001,3,0001395213,EDENOR,0002131263,Farrell Miguel Patricio,,,20-F; 6-K,2025-01-15,0002131263
2026-04-28,41,0001493152-26-019267,3,0002005569,Empro Group Inc.,0002127252,Tan Wee Siang,Director,,6-K,2025-07-03,0001493152
2026-04-28,41,0001493152-26-019286,3,0002005569,Empro Group Inc.,0002126370,Tee Chor Wai,Director,,6-K,2025-07-03,0001493152
2026-04-28,41,0001493152-26-019268,3,0002005569,Empro Group Inc.,0002126665,Wei Goh Kok,Chief Financial Officer,Chief Financial Officer,6-K,2025-07-03,0001493152
2026-04-28,41,0002132130-26-000001,3,0000931427,GAS TRANSPORTER OF THE SOUTH INC,0002132130,Chighizola Diego Agustin,,,20-F; 6-K,2025-02-03,0002132130
2026-04-28,41,0001475597-26-000023,3,0001928581,GMEX Robotics Corp,0001475597,HRT FINANCIAL LP,10% Owner,,20-F; 6-K,2025-02-07,0001475597
2026-04-28,41,0001104659-26-050482,3,0001517399,Grupo Supervielle S.A.,0002127738,Conigliaro Javier Alejandro,Director,,20-F; 6-K,2025-01-23,0001104659
2026-04-28,41,0001104659-26-050485,3,0001517399,Grupo Supervielle S.A.,0002127741,Naughton Alejandra Gladis,Director,,20-F; 6-K,2025-01-23,0001104659
2026-04-28,41,0001104659-26-050481,3,0001517399,Grupo Supervielle S.A.,0002131760,Truppia Juan Manuel,See Remarks,See Remarks,20-F; 6-K,2025-01-23,0001104659
2026-04-28,41,0001987210-26-000006,3,0001098462,METALINK LTD,0001987210,Mekler Ron,Director,,20-F; 6-K,2025-04-25,0001987210
2026-04-28,41,0001493152-26-019326,3,0001966233,NIP Group Inc.,0002130728,Agren Carl Stuart,Director,,20-F; 6-K,2025-01-17,0001493152
2026-04-28,41,0001292814-26-002619,3,0001119639,PETROBRAS - PETROLEO BRASILEIRO SA,0002119930,Gasparino da Silva Marcelo,Director,,20-F; 6-K,2025-01-10,0001292814
2026-04-28,41,0001292814-26-002621,3,0001119639,PETROBRAS - PETROLEO BRASILEIRO SA,0002119893,de Oliveira Maia Rachel,Director,,20-F; 6-K,2025-01-10,0001292814
2026-04-28,41,0001628280-26-027828,3/A,0001636639,Pelagos Insurance Capital Ltd,0002102150,Pearson Michael Justin,Chief Risk Officer,Chief Risk Officer,20-F; 6-K,2025-02-19,0001628280
2026-04-28,41,0001213900-26-048748,3,0001874252,Quantum Cyber N.V.,0001944721,Ben-Tzvi Avraham,Director,,20-F; 6-K,2025-01-14,0001213900
2026-04-28,41,0001213900-26-048747,3,0001874252,Quantum Cyber N.V.,0001253108,NATAN DAVID,Director,,20-F; 6-K,2025-01-14,0001213900
2026-04-28,41,0002127944-26-000001,3,0001912884,Republic Power Group Ltd,0002127944,Lo Siu Wan,Director,,20-F; 6-K,2025-10-16,0002127944
2026-04-28,41,0002123972-26-000002,3,0001912884,Republic Power Group Ltd,0002123972,Long Ziyang,Chief Executive Officer,Chief Executive Officer,20-F; 6-K,2025-10-16,0002123972
2026-04-28,41,0002124103-26-000002,3,0001912884,Republic Power Group Ltd,0002124103,Ng Hao Feng,Director; 10% Owner,,20-F; 6-K,2025-10-16,0002124103
2026-04-28,41,0002128118-26-000001,3,0001912884,Republic Power Group Ltd,0002128118,Wong Chak Ming,Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-10-16,0002128118
2026-04-27,40,0000950157-26-000551,3,0001378789,AerCap Holdings N.V.,0001249552,PARKER W DOUGLAS,Director,,20-F; 6-K,2025-01-06,0000950157
2026-04-27,40,0001178913-26-002228,3,0001504379,Caesarstone Ltd.,0002124600,Halperin Ariel,Director,,20-F; 6-K,2025-03-05,0001178913
2026-04-27,40,0001213900-26-048005,3,0001723980,"China SXT Pharmaceuticals, Inc.",0002121823,Chee Yong Lip,Director,,20-F; 6-K,2025-01-23,0001213900
2026-04-27,40,0001213900-26-048003,3,0001723980,"China SXT Pharmaceuticals, Inc.",0002121839,Ji Xiaodong,Director,,20-F; 6-K,2025-01-23,0001213900
2026-04-27,40,0001213900-26-048001,3,0001723980,"China SXT Pharmaceuticals, Inc.",0002129718,Liu Tong Tony,Director,,20-F; 6-K,2025-01-23,0001213900
2026-04-27,40,0001213900-26-048007,3,0001723980,"China SXT Pharmaceuticals, Inc.",0002130473,Pan Xiaodong Sean,Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-01-23,0001213900
2026-04-27,40,0001213900-26-048000,3,0001723980,"China SXT Pharmaceuticals, Inc.",0002121842,Simon Lim Sze Beng,Co-Chief Executive Officer,Co-Chief Executive Officer,20-F; 6-K,2025-01-23,0001213900
2026-04-27,40,0001213900-26-047998,3,0001723980,"China SXT Pharmaceuticals, Inc.",0002121856,Zheng Jun,Director,,20-F; 6-K,2025-01-23,0001213900
2026-04-27,40,0001213900-26-048006,3,0001723980,"China SXT Pharmaceuticals, Inc.",0002129708,Zhou Feng Felix,Director; Co-CEO and Director,Co-CEO and Director,20-F; 6-K,2025-01-23,0001213900
2026-04-27,40,0001213900-26-047993,3,0001631487,CollPlant Biotechnologies Ltd,0001686408,Evans Hugh M,Director,,20-F; 6-K,2025-02-12,0001213900
2026-04-27,40,0001213900-26-047745,3,0002001794,Concorde International Group Ltd.,0002127482,CHUA SWEE KHENG,Director; 10% Owner,,20-F; 6-K,2025-04-23,0001213900
2026-04-27,40,0001213900-26-047979,3,0001837821,Jin Medical International Ltd.,0001489785,TONG JAMES JIAYUAN,Director,,20-F; 6-K,2025-01-24,0001213900
2026-04-27,40,0001193125-26-178762,3/A,0001708259,LexinFintech Holdings Ltd.,0001662661,Long Annabelle Yu,Director,,20-F; 6-K,2025-03-19,0001193125
2026-04-27,40,0001193125-26-178731,3/A,0001708259,LexinFintech Holdings Ltd.,0002047746,WU Wei,Director,,20-F; 6-K,2025-03-19,0001193125
2026-04-27,40,0001193125-26-178770,3/A,0001708259,LexinFintech Holdings Ltd.,0002045062,Wang Neng,Director,,20-F; 6-K,2025-03-19,0001193125
2026-04-24,37,0001213900-26-047418,3,0001439124,AXIA Energia S.A.,0002131225,Tokoro Catia Yuassa,,,20-F; 6-K,2025-01-14,0001213900
2026-04-24,37,0001213900-26-047247,3,0002060016,Agencia Comercial Spirits Ltd.,0002126296,Li Cheuk Hang,Director,,6-K,2025-10-24,0001213900
2026-04-24,37,0001213900-26-047249,3,0002060016,Agencia Comercial Spirits Ltd.,0002126176,Liu Shihao,Director; Chief Financial Officer,Chief Financial Officer,6-K,2025-10-24,0001213900
2026-04-24,37,0001213900-26-047224,3,0002001794,Concorde International Group Ltd.,0002127606,GOH ALFRED KOK KEE,Director,,20-F; 6-K,2025-04-23,0001213900
2026-04-24,37,0001213900-26-047226,3,0002001794,Concorde International Group Ltd.,0002127600,THIA SIM PENG,Director,,20-F; 6-K,2025-04-23,0001213900
2026-04-24,37,0001104659-26-048722,3,0001828253,Evaxion A/S,0002131170,Bitsch-Norhave Jens,Director,,20-F; 6-K,2025-01-07,0001104659
2026-04-24,37,0002131749-26-000001,3,0000931427,GAS TRANSPORTER OF THE SOUTH INC,0002131749,Bevilacqua Flavia Vanesa,,,20-F; 6-K,2025-02-03,0002131749
2026-04-24,37,0001213900-26-047340,3,0001837821,Jin Medical International Ltd.,0002131236,Guo Yanru,Director,,20-F; 6-K,2025-01-24,0001213900
2026-04-24,37,0001213900-26-047338,3,0001837821,Jin Medical International Ltd.,0002000510,Wang Erqi,Director; Chief Executive Officer; 10% Owner,Chief Executive Officer,20-F; 6-K,2025-01-24,0001213900
2026-04-24,37,0001213900-26-047336,3,0001837821,Jin Medical International Ltd.,0002126589,Wang Ziqiang,Director; Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-01-24,0001213900
2026-04-24,37,0001193125-26-174879,3,0001816007,Lufax Holding Ltd,0002130607,Cheng Siu Hong,Director,,20-F; 6-K,2025-01-07,0001193125
2026-04-24,37,0001193125-26-175410,3,0001816007,Lufax Holding Ltd,0002131141,Ip Ernest Koon Wing,Director,,20-F; 6-K,2025-01-07,0001193125
2026-04-24,37,0001104659-26-048167,3/A,0001815846,MINISO Group Holding Ltd,0001962282,Xu Lili,Director,,20-F; 6-K,2025-01-03,0001104659
2026-04-24,37,0000930413-26-001211,3,0001434754,"SAFE BULKERS, INC.",0002130903,Bunzel Jeffrey,Director,,20-F; 6-K,2025-01-03,0000930413
2026-04-24,37,0000930413-26-001213,3,0001434754,"SAFE BULKERS, INC.",0002131509,Hajioannou Vasilis,Director,,20-F; 6-K,2025-01-03,0000930413
2026-04-24,37,0000919574-26-002390,3,0001289877,SFL Corp Ltd.,0001652305,Vogel Gary,Director,,20-F; 6-K,2025-01-15,0000919574
2026-04-24,37,0001493152-26-018964,3,0001940674,SMX (Security Matters) Public Ltd Co,0002105917,Alon Haggai,Director; CEO and Chairman,CEO and Chairman,20-F; 6-K,2025-01-10,0001493152
2026-04-24,37,0001493152-26-018965,3,0001940674,SMX (Security Matters) Public Ltd Co,0002130807,Bader Amir,Director; Interim CFO,Interim CFO,20-F; 6-K,2025-01-10,0001493152
2026-04-24,37,0001104659-26-048038,3,0001995306,SUPER HI INTERNATIONAL HOLDING LTD.,0002130468,Yoon Daejin,Director,,20-F; 6-K,2025-01-07,0001104659
2026-04-24,37,0001213900-26-047657,3,0001975641,Zhengye Biotechnology Holding Ltd,0002131429,Hu Qiyi,Director,,20-F; 6-K,2025-01-08,0001213900
2026-04-24,37,0001213900-26-047656,3,0001975641,Zhengye Biotechnology Holding Ltd,0002131319,Li Guohan (nmn),Director,,20-F; 6-K,2025-01-08,0001213900
2026-04-23,36,0001213900-26-046904,3,0001871983,Anghami Inc,0001965611,Habib Elias,Director; Chief Executive Officer,Chief Executive Officer,20-F; 6-K,2025-02-07,0001213900
2026-04-23,36,0001493152-26-018618,3,0001816815,Bon Natural Life Ltd,0001919041,Chen Jing Veronica,Director,,20-F; 6-K,2025-01-03,0001493152
2026-04-23,36,0001104659-26-047080,3,0001962738,"CASI Pharmaceuticals, Inc.",0001706382,Folinsbee Thomas,Director,,20-F; 6-K,2025-01-21,0001104659
2026-04-23,36,0001213900-26-046880,3,0001536196,Can-Fite BioPharma Ltd.,0002131467,Tamir Ilan,Director,,20-F; 6-K,2025-01-27,0001213900
2026-04-23,36,0001292814-26-002481,3,0001355444,EMBRAER S.A.,0002130347,de Lima Felipe Santana Santiago,Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-01-08,0001292814
2026-04-23,36,0002070979-26-000167,3,0001864163,"Inter & Co, Inc.",0002131545,Prado Claudia Farkouh,Director,,20-F; 6-K,2025-02-06,0002070979
2026-04-23,36,0002070979-26-000168,3,0001864163,"Inter & Co, Inc.",0002131558,de Souza Maia Maria Fernanda Nazareth Teixeira,Director,,20-F; 6-K,2025-02-06,0002070979
2026-04-23,36,0001213900-26-046867,3,0001998560,Mint Inc Ltd,0002124607,Wong Kai Wai,Director,,20-F; 6-K,2025-01-13,0001213900
2026-04-23,36,0000919574-26-002347,3,0001000177,NORDIC AMERICAN TANKERS Ltd,0002131136,Kelly James Jim,Director,,20-F; 6-K,2025-03-05,0000919574
2026-04-23,36,0000905148-26-001812,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002119206,Siswarini Dian,President Director,President Director,20-F; 6-K,2025-02-11,0000905148
2026-04-23,36,0001185185-26-001469,3,0001837493,QTREX Quantum Ltd.,0002131045,Rozanovich Yoav,Chief Business Officer,Chief Business Officer,20-F; 6-K,2025-01-07,0001185185
2026-04-23,36,0002131301-26-000001,3,0001631761,Yiren Digital Ltd.,0002131301,Huang Jingsheng,Director,,20-F; 6-K,2025-03-21,0002131301
2026-04-22,35,0001104659-26-046810,3/A,0001625414,Baozun Inc.,0001894657,Hsia Hsien-Chieng Steve,Director,,20-F; 6-K,2025-01-03,0001104659
2026-04-22,35,0001104659-26-046557,3,0001769484,Bioceres Crop Solutions Corp.,0002125033,Roque Jose Augusto,General Counsel,General Counsel,20-F; 6-K,2025-02-06,0001104659
2026-04-22,35,0002130691-26-000001,3,0001499849,BrasilAgro - Brazilian Agricultural Real Estate Co,0002130691,Sampaio Filho Joao Almeida,Director,,20-F; 6-K,2025-02-07,0002130691
2026-04-22,35,0001628280-26-026484,3/A,0000910631,COCA COLA FEMSA SAB DE CV,0002120750,Kim LeRoy,Director,,20-F; 6-K,2025-02-21,0001628280
2026-04-22,35,0001213900-26-046362,3,0002001794,Concorde International Group Ltd.,0002123264,Brisson Mark Allen,Director,,20-F; 6-K,2025-04-23,0001213900
2026-04-22,35,0001683168-26-003129,3,0001949478,DAVIS COMMODITIES Ltd,0002130447,Lim Chow Sheng,Director,,20-F; 6-K,2025-03-21,0001683168
2026-04-22,35,0001185185-26-001466,3,0001958133,Decent Holding Inc.,0002122336,Xu Haicheng,Chief Executive Officer,Chief Executive Officer,20-F; 6-K,2025-01-24,0001185185
2026-04-22,35,0001839799-26-000078,3,0001839799,Gambling.com Group Ltd,0002129790,Costello Fintan,Director,,20-F; 6-K,2025-02-19,0001839799
2026-04-22,35,0001493152-26-018431,3/A,0001991332,MKDWELL Tech Inc.,0002130186,Cu Minjie,Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-01-14,0001493152
2026-04-22,35,0001493152-26-018430,3/A,0001991332,MKDWELL Tech Inc.,0002033096,Huang Ming-Chia,Director; Chief Executive Officer,Chief Executive Officer,20-F; 6-K,2025-01-14,0001493152
2026-04-22,35,0001193125-26-170345,3,0001778016,NovaBridge Biosciences,0002126029,Hagler Mark Arnold,See Remarks,See Remarks,20-F; 6-K,2025-01-06,0001193125
2026-04-22,35,0001213900-26-046357,3,0001948443,Raytech Holding Ltd,0002130901,Liu Haoyuan,Director,,20-F; 6-K,2025-01-10,0001213900
2026-04-22,35,0002130394-26-000006,3,0001874315,Satellogic Inc.,0002130394,Kharsansky Alan,Chief Technology Officer,Chief Technology Officer,6-K,2025-02-13,0002130394
2026-04-22,35,0001213900-26-046470,3/A,0001930510,VCI Global Ltd,0001912875,HOO VOON HIM,Director; CEO and Director,CEO and Director,20-F; 6-K,2025-01-07,0001213900
2026-04-22,35,0001213900-26-046472,3/A,0001930510,VCI Global Ltd,0001928123,LIEW SOO HUA,Director,,20-F; 6-K,2025-01-07,0001213900
2026-04-22,35,0001213900-26-046469,3/A,0001930510,VCI Global Ltd,0002125350,Lee Tze Wee,Director,,20-F; 6-K,2025-01-07,0001213900
2026-04-22,35,0001213900-26-046467,3/A,0001930510,VCI Global Ltd,0002125960,Yong Goon Wey,Director,,20-F; 6-K,2025-01-07,0001213900
2026-04-22,35,0002127923-26-000002,3,0001867729,WeRide Inc.,0002127923,Futakawa Ichijo,Director,,20-F; 6-K,2025-02-20,0002127923
2026-04-22,35,0001213900-26-046550,3,0001941158,Wetour Robotics Ltd,0002131048,Chiu Yu-Tien,Chief Marketing Officer,Chief Marketing Officer,20-F; 6-K,2025-02-28,0001213900
2026-04-22,35,0001213900-26-046549,3,0001941158,Wetour Robotics Ltd,0002131038,Lian Bin,Chief Technology Officer,Chief Technology Officer,20-F; 6-K,2025-02-28,0001213900
2026-04-21,34,0001213900-26-046034,3,0002023311,ASCENTAGE PHARMA GROUP INTERNATIONAL,0002122967,Misra Veet,Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-02-11,0001213900
2026-04-21,34,0001104659-26-045650,3,0001982444,Baird Medical Investment Holdings Ltd,0002130727,Lu Rongjian,Chief Technical Officer,Chief Technical Officer,20-F; 6-K,2025-01-28,0001104659
2026-04-21,34,0001104659-26-045663,3,0001982444,Baird Medical Investment Holdings Ltd,0002130877,Qiu Quan,Director,,20-F; 6-K,2025-01-28,0001104659
2026-04-21,34,0001104659-26-045670,3,0001982444,Baird Medical Investment Holdings Ltd,0002130714,Xu Lijian,Director,,20-F; 6-K,2025-01-28,0001104659
2026-04-21,34,0001493152-26-018241,3,0002004489,Basel Medical Group Ltd,0002130183,Soong Kwek Yoon,Director,,20-F; 6-K,2025-02-28,0001493152
2026-04-21,34,0001493152-26-018313,3,0001995704,Cuprina Holdings (Cayman) LTD,0002126928,CHAN Tat Jing,Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-04-11,0001493152
2026-04-21,34,0001493152-26-018310,3,0001995704,Cuprina Holdings (Cayman) LTD,0002126902,KOH Pee Keat,Director,,20-F; 6-K,2025-04-11,0001493152
2026-04-21,34,0001493152-26-018309,3,0001995704,Cuprina Holdings (Cayman) LTD,0002126908,LEE Jimmy Peng Siew,Director; 10% Owner,,20-F; 6-K,2025-04-11,0001493152
2026-04-21,34,0001493152-26-018312,3,0001995704,Cuprina Holdings (Cayman) LTD,0002126925,QUEK David Yong Qi,Director; Chief Executive Officer; 10% Owner,Chief Executive Officer,20-F; 6-K,2025-04-11,0001493152
2026-04-21,34,0001493152-26-018308,3,0001995704,Cuprina Holdings (Cayman) LTD,0002126943,RAINA Natasha Kaur,Director,,20-F; 6-K,2025-04-11,0001493152
2026-04-21,34,0001493152-26-018311,3,0001995704,Cuprina Holdings (Cayman) LTD,0002126880,TEO Peng Kwang,Director; 10% Owner,,20-F; 6-K,2025-04-11,0001493152
2026-04-21,34,0001185185-26-001450,3,0001958133,Decent Holding Inc.,0002103793,Sun Dingyan,Director,,20-F; 6-K,2025-01-24,0001185185
2026-04-21,34,0002130820-26-000001,3,0001395213,EDENOR,0002130820,PEREZ Pablo Antonio,Director,,20-F; 6-K,2025-01-15,0002130820
2026-04-21,34,0001839799-26-000073,3,0001839799,Gambling.com Group Ltd,0002129836,Monaghan Ellen,SVP People,SVP People,20-F; 6-K,2025-02-19,0001839799
2026-04-21,34,0002129672-26-000002,3,0001716338,J & Friends Holdings Ltd,0002129672,YANG Xin YX,Director; Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-04-07,0002129672
2026-04-21,34,0000905148-26-001752,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002119084,Agusman Deswandhy,Director,,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001753,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002119124,Dermawan Ossy,Director,,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001754,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002121183,Djoemadi Faizal Rochmad,Director of IT Digital,Director of IT Digital,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001755,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002119179,Hendarno Nanang,Director of Network,Director of Network,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001756,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002119135,Karim Silmy,Director,,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001757,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002121229,Kelana Andy,Director of Legal & Compliance,Director of Legal & Compliance,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001758,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002119047,Malarangeng Rizal,Director,,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001759,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002119073,Noviarti Ira,Director,,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001760,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002119284,Prabowo Angga Raka,Director,,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001769,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002119175,Purba Budi Satria Dharma,Dir. of Wholesale & Int. Svc.,Dir. of Wholesale & Int. Svc.,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001761,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002119072,Rokhim Rofikoh,Director,,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001762,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002119185,Saelan Willy,Dir. of Human Capital Mgmt.,Dir. of Human Capital Mgmt.,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001763,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002119074,Silaban Rionald,Director,,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001764,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002123480,Sinaga Veranita Yosephine,Dir. of Ent. & Bus. Svc.,Dir. of Ent. & Bus. Svc.,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001765,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002123305,Soemadji Seno,Dir. of Str. Bus. Dev. & Port.,Dir. of Str. Bus. Dev. & Port.,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0000905148-26-001770,3,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0002121175,Syailendra Arthur Angelo,Dir. of Fin. & Risk Mgmt.,Dir. of Fin. & Risk Mgmt.,20-F; 6-K,2025-02-11,0000905148
2026-04-21,34,0001213900-26-046142,3,0001807389,"Pop Culture Group Co., Ltd",0002121898,Chen Yunzhu,Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-01-13,0001213900
2026-04-21,34,0001213900-26-046140,3,0001807389,"Pop Culture Group Co., Ltd",0002121925,Hu Haiquan,Director,,20-F; 6-K,2025-01-13,0001213900
2026-04-21,34,0001213900-26-046141,3,0001807389,"Pop Culture Group Co., Ltd",0002121918,Huang Manxin,Director,,20-F; 6-K,2025-01-13,0001213900
