rank,item_id,published_at,publisher,language,title,score,rationale_tags
83,1870,2026-05-03T12:00:00Z,The Daily Beast via Yahoo,en,Republicans appear split on idea of clemency for Ghislaine Maxwell,60.6,base:39;primary:other_core;topic:maxwell;topic:political_intelligence;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:2;original-signals:1;hash:unique;independence:first-pass
84,2476,2019-08-21T03:43:03.583+02:00,Avisen.dk,da,Tre kvinder mere sagsøger boet efter afdøde Jeffrey Epstein,60.6,base:19;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:political_intelligence;era:2019;fulltext:substantive;hash:unique;independence:first-pass;language:non-en
85,2323,2021-12-30T19:38:57+02:00,Yle,fi,Ghislaine Maxwellin seksirikostuomio pahentaa prinssi Andrew'n asemaa,60.5,base:16;primary:maxwell;topic:maxwell;era:2020_2024;fulltext:substantive;hash:unique;independence:first-pass;language:non-en
86,2097,2026-06-18T03:02:00Z,Yahoo News,en,Dozens of companies asked to preserve records in Epstein probe,59.9,base:47;primary:other_core;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:2;original-signals:1;hash:unique;independence:first-pass
87,3988,2019-10-05T06:19:02+02:00,Franceinfo,fr,"Salle de massage, photos de jeunes filles, pièces vastes et luxueuses... À quoi ressemblait l'appartement parisien de Jeffrey Epstein ?",59.9,base:41;primary:maxwell;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;era:2019;fulltext:longform;documents:1;hash:unique;independence:repeat-capped;language:non-en
88,1817,2006-07-26,Palm Beach Post,en,"After long probe, Palm Beach billionaire faces solicitation charge",59.2,base:66;primary:staff_operations;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:pre_2015;fulltext:substantive;documents:1;historical:curated;outlet:investigative;hash:unique;independence:repeat-capped
89,38,2019-08-13,ABC News,en,Attorney General Barr orders New York jail shakeup after Jeffrey Epstein's death,58.5,base:25;primary:staff_operations;topic:political_intelligence;topic:staff_operations;era:2019;fulltext:substantive;hash:unique;independence:first-pass
90,2596,2024-01-04T01:19:51+0100,Onet,pl,"Upubliczniono ""listę Epsteina"". Dokument zawiera zaskakujące informacje",58.1,base:23;primary:maxwell;topic:maxwell;topic:political_intelligence;era:2020_2024;fulltext:substantive;documents:1;hash:unique;independence:first-pass;language:non-en
91,4290,2019-07-12T11:49:08.000Z,Süddeutsche Zeitung,de,USA - Minister Acosta verteidigt Deal mit Epstein,57.5,base:32;primary:science_philanthropy;topic:political_intelligence;topic:science_philanthropy;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
92,2224,2020-11-12T17:56:39-05:00,NPR,en,"Jeffrey Epstein's Former Prosecutors Used 'Poor Judgment' In Deal, DOJ Says",56.1,base:28;primary:political_intelligence;topic:maxwell;topic:political_intelligence;topic:legal_accountability;era:2020_2024;fulltext:substantive;documents:1;hash:unique;independence:first-pass
93,2099,2026-05-14T21:26:34Z,New York Post,en,Commerce Secretary Howard Lutnick explodes over question on Epstein mask resembling him: 'I have hair',55.2,base:43;primary:other_core;topic:banks_trusts_usvi;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:2;original-signals:1;hash:unique;independence:first-pass
94,5075,2019-08-16T16:32:40+00:00,NRC,nl,‘We zijn in de VS omgeven door verzinsels’,54.8,base:39;primary:science_philanthropy;topic:political_intelligence;topic:science_philanthropy;era:2019;fulltext:longform;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
95,2209,2022-06-28,Telex,hu,20 év börtönre ítélték Ghislaine Maxwellt,54.4,base:13;primary:maxwell;topic:maxwell;era:2020_2024;fulltext:substantive;hash:unique;independence:first-pass;language:non-en
96,7434,2019-08-14T11:19:00.000Z,NBC News,en,"Epstein accuser sues Ghislaine Maxwell, says she made rape possible",54.1,base:57;primary:maxwell;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2019;fulltext:longform;documents:3;hash:unique;independence:repeat-capped
97,6663,2018-12-04T10:14:00-0500,CBS News,en,"Jeffrey Epstein: Wealthy sex offender settles suit, averting victim testimony",54.0,base:49;primary:science_philanthropy;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;topic:legal_accountability;era:2015_2018;fulltext:substantive;documents:2;hash:unique;independence:repeat-capped
98,2150,2026-06-24T22:15:00Z,kezi.com,en,Bill Gates says he didn’t witness crimes but may have been in presence of Epstein victims,53.5,base:34;primary:other_core;topic:banks_trusts_usvi;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:1;hash:unique;independence:first-pass
99,2106,2026-05-02T10:37:50-04:00,ibtimes.co.uk,en,Bard College Chief Leon Botstein Steps Down After Probe Finds He Made 25 Visits to Epstein Townhouse,52.8,base:34;primary:other_core;topic:banks_trusts_usvi;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:substantive;original-signals:1;hash:unique;independence:first-pass
100,8045,2020-07-21T01:07:00.000Z,NBC New York,en,"Suspect in shooting death of federal judge's son found dead, believed to be attorney",52.2,base:17;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:political_intelligence;era:2020_2024;fulltext:substantive;hash:unique;independence:first-pass
101,2178,2018-12-05,Associated Press via KSL,en,"Rich sex offender Epstein settles 1 suit, but more to come",52.1,base:37;primary:political_intelligence;topic:political_intelligence;topic:legal_accountability;era:2015_2018;fulltext:substantive;documents:1;original-signals:1;historical:curated;hash:unique;independence:repeat-capped
102,1468,2019-08-10T17:27:39.000Z,The Guardian,en,'His conduct left an impression that lingered': the life of Jeffrey Epstein,52.0,base:67;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2019;fulltext:longform;outlet:quality;hash:unique;independence:repeat-capped
103,2993,2022-06-26T12:14:07+07:00,ANTARA News,id,Ghislaine Maxwell ditempatkan di sel dengan pengawasan ketat,50.7,base:30;primary:maxwell;topic:maxwell;topic:political_intelligence;era:2020_2024;fulltext:longform;documents:1;hash:unique;independence:repeat-capped;language:non-en
104,1818,2006-07-29,Palm Beach Post,en,"Billionaire's lawyer tried to discredit teen girls, police say",50.2,base:66;primary:staff_operations;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:pre_2015;fulltext:substantive;documents:1;historical:curated;outlet:investigative;hash:unique;independence:repeat-capped
105,4441,2019-07-18T14:53:21+02:00,Die Presse,de,Party-Video zeigt Trump mit Epstein,50.2,base:22;primary:science_philanthropy;topic:political_intelligence;topic:science_philanthropy;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
106,1972,2026-06-05T12:48:52+05:30,The Indian Express,en,Trump’s Attorney General pick Todd Blanche led bungled Epstein files release: Pam Bondi,50.0,base:32;primary:other_core;topic:maxwell;topic:political_intelligence;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:2;outlet:quality;hash:unique;independence:first-pass
107,7400,2020-07-07T19:54:00.000Z,CNBC,en,Deutsche Bank hit with $150 million penalty for dealings with Epstein,49.7,base:34;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:substantive;hash:unique;independence:repeat-capped
108,3080,2019-07-09T04:19:53Z,Corriere della Sera,it,"Jeffrey Epstein, arrestato il magnate amico di Trump (e Clinton)",49.5,base:24;primary:political_intelligence;topic:political_intelligence;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
109,2029,2026-06-04T17:28:18-04:00,NBC4 Washington,en,House committee calls on DOJ to investigate two men with ties to Jeffrey Epstein,48.8,base:37;primary:wexner_black;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:1;hash:unique;independence:first-pass
110,2326,2024-01-08,Al Jazeera Arabic,ar,هل كان جيفري إبستين عميلا لصالح الموساد؟,48.2,base:16;primary:other_core;era:2020_2024;fulltext:substantive;hash:unique;independence:first-pass;language:non-en
111,3014,2011-03-07T14:55:17+07:00,ANTARA News,id,"Gara-gara Seorang Fedofil, Pangeran Andrew Dibatasi",47.8,base:21;primary:other_core;era:pre_2015;fulltext:substantive;hash:unique;independence:first-pass;language:non-en
112,1076,2024-01-01T15:59:21.000Z,The Guardian,en,Nearly 200 names linked to Jeffrey Epstein expected to be made public,47.6,base:75;primary:staff_operations;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:substantive;documents:4;outlet:quality;hash:unique;independence:repeat-capped
113,28,2026-02-01,Drop Site News,en,"""Leadership Would Like Your Help"": Indian Billionaire Tapped Jeffrey Epstein Before Modi's Visits to U.S. and Israel",47.6,base:50;primary:other_core;topic:political_intelligence;topic:science_philanthropy;era:2026_plus;fulltext:longform;documents:2;original-signals:1;outlet:investigative;hash:unique;independence:repeat-capped
114,3013,2019-08-15T19:26:18+07:00,ANTARA News,id,Tulang leher jenazah Jeffrey Epstein dilaporkan patah,46.1,base:24;primary:properties;topic:political_intelligence;topic:properties;era:2019;fulltext:substantive;hash:unique;independence:repeat-capped;language:non-en
115,7278,2023-08-19T00:56:49.210Z,NBC News,en,Epstein referred former Obama White House counsel to JPMorgan as client,45.9,base:63;primary:properties;topic:banks_trusts_usvi;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:legal_accountability;era:2020_2024;fulltext:substantive;documents:4;original-signals:1;hash:unique;independence:repeat-capped
116,2059,2026-06-30T10:15:00Z,virginislandsdailynews.com,en,Epstein victim files lawsuit against FirstBank,45.9,base:30;primary:other_core;topic:banks_trusts_usvi;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:substantive;documents:1;hash:unique;independence:first-pass
117,1714,2023-05-04T06:43:10.450585Z,Ynet,he,יהפכו לריזורט: האיים של ג'פרי אפשטיין בקאריביים נמכרו בחצי מהמחיר המבוקש,45.8,base:21;primary:properties;topic:properties;era:2020_2024;fulltext:substantive;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
118,2451,2023-09-26T18:07:00+02:00,Avisen.dk,da,Bank lægger låg på Epstein-sager,45.4,base:12;primary:banks_trusts_usvi;topic:banks_trusts_usvi;era:2020_2024;fulltext:substantive;hash:unique;independence:repeat-capped;language:non-en
119,2084,2026-06-30T11:00:00Z,ABC News,en,"Doug Band, former aide to Bill Clinton, repeatedly tells panel he cannot recall interactions with Epstein: Sources",45.2,base:42;primary:other_core;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:1;hash:unique;independence:repeat-capped
120,7791,2008-02-06T22:30:52.000Z,NBC News,en,N.Y. billionaire hit with new sex abuse lawsuit,44.9,base:23;primary:properties;topic:political_intelligence;topic:properties;topic:legal_accountability;era:pre_2015;fulltext:substantive;hash:unique;independence:repeat-capped
121,4064,2019-11-17T08:00:00+00:00,Libération,fr,"L'interview calamiteuse du prince Andrew, mis en cause dans l'affaire Epstein",44.6,base:21;primary:political_intelligence;topic:political_intelligence;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
122,2142,2026-06-30T15:20:02+00:00,midutahradio.com,en,"Doug Band, former aide to Bill Clinton, to be questioned about Clinton’s interactions with Epstein",44.4,base:42;primary:other_core;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;era:2026_plus;fulltext:substantive;documents:1;original-signals:1;hash:unique;independence:repeat-capped
123,5571,2019-11-21T13:09:36+03:00,Independent Arabia,ar,أميركيات في بلاط جيمس... قصص الحب والهجر والعذاب,43.4,base:18;primary:other_core;era:2019;fulltext:longform;documents:1;hash:unique;independence:first-pass;language:non-en
124,2072,2026-05-03T18:54:36+00:00,rawstory.com,en,Court records detail recent kidnapping at Epstein island: 'Stripped and hog-tied',42.7,base:29;primary:other_core;topic:banks_trusts_usvi;topic:political_intelligence;topic:properties;topic:staff_operations;era:2026_plus;fulltext:substantive;documents:2;hash:unique;independence:first-pass
125,3046,2022-01-27T11:40:57Z,Corriere della Sera,it,Il principe Andrea pronto al processo contro Virginia Giuffre: «Era una complice di Epstein e Maxwell»,42.6,base:32;primary:maxwell;topic:maxwell;topic:political_intelligence;era:2020_2024;fulltext:longform;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
126,1344,2019-12-27T18:06:01.000Z,The Guardian,en,Ghislaine Maxwell and others linked to Jeffrey Epstein under FBI investigation,41.8,base:63;primary:maxwell;topic:maxwell;topic:political_intelligence;topic:staff_operations;topic:legal_accountability;era:2019;fulltext:substantive;documents:3;original-signals:1;outlet:quality;hash:unique;independence:repeat-capped
127,6520,,CBS News,en,Epstein accuser sues alleged co-conspirator Ghislaine Maxwell,41.8,base:17;primary:maxwell;topic:maxwell;topic:political_intelligence;topic:staff_operations;topic:legal_accountability;era:undated;fulltext:substantive;original-signals:1;hash:unique;independence:repeat-capped
128,2730,2024-01-03 11:26:19,Novinky.cz,cs,Soud nechá odhalit detaily o Clintonových stycích s Epsteinem - Novinky,40.8,base:15;primary:staff_operations;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;era:2020_2024;fulltext:substantive;hash:unique;independence:repeat-capped;language:non-en
129,3343,2019-08-13T20:30:32.404-03:00,G1,pt,Justiça dos EUA suspende guardas e muda diretor de prisão onde Jeffrey Epstein morreu | G1,40.2,base:15;primary:political_intelligence;topic:political_intelligence;era:2019;fulltext:substantive;hash:unique;independence:first-pass;language:non-en
130,6330,2024-01-06T08:33:00-0500,CBS News,en,Third batch of Epstein documents unsealed in ongoing release of court filings,40.0,base:85;primary:wexner_black;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:longform;documents:5;original-signals:1;hash:unique;independence:repeat-capped
131,5409,2024-01-05T17:45:00,Independent Arabia,ar,روايات الاستغلال الجنسي بوثائق إبستين تحرج نخب الغرب,39.5,base:22;primary:other_core;era:2020_2024;fulltext:longform;documents:1;hash:unique;independence:repeat-capped;language:non-en
132,7222,2019-12-19T20:55:00.000Z,CNBC,en,"Surveillance video from Jeffrey Epstein's first suicide attempt is missing, lawyer says",39.5,base:27;primary:properties;topic:political_intelligence;topic:properties;era:2019;fulltext:substantive;hash:unique;independence:repeat-capped
133,2222,2019-02-15T12:02-05:00,Miami Herald,en,Alex Acosta acted with professionalism and integrity in handling the Jeffrey Epstein case,38.9,base:22;primary:other_core;era:2019;fulltext:substantive;outlet:investigative;hash:unique;independence:first-pass
134,3002,2020-07-31T19:45:40+07:00,ANTARA News,id,"Dokumen Ghislaine Maxwell dirilis, termasuk e-mail dengan Epstein",38.6,base:30;primary:maxwell;topic:maxwell;topic:political_intelligence;era:2020_2024;fulltext:longform;documents:1;hash:unique;independence:repeat-capped;language:non-en
135,1823,2008-01-25,Palm Beach Post,en,Palm Beach man faces lawsuit in teen sex case,37.8,base:59;primary:properties;topic:political_intelligence;topic:properties;topic:staff_operations;era:pre_2015;fulltext:substantive;documents:1;historical:curated;outlet:investigative;hash:unique;independence:repeat-capped
136,2324,2021-12-30T00:51:57+02:00,Yle,fi,Seurapiirijulkkis Ghislaine Maxwell todettiin syylliseksi useisiin seksuaalirikoksiin,37.2,base:16;primary:maxwell;topic:maxwell;era:2020_2024;fulltext:substantive;hash:unique;independence:repeat-capped;language:non-en
137,2343,2021-01-15,Asahi Shimbun Ronza,ja,伊藤穣一氏が辞任したMITメディアラボ「スキャンダルのその後」 - 下條信輔｜論座アーカイブ,36.3,base:3;primary:science_philanthropy;topic:science_philanthropy;era:2020_2024;fulltext:substantive;hash:unique;independence:first-pass;language:non-en
138,3076,2019-08-12T06:24:14Z,Corriere della Sera,it,"Epstein, chi sono le donne che gestivano le schiave sessuali",34.9,base:22;primary:staff_operations;topic:maxwell;topic:political_intelligence;topic:staff_operations;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
139,1731,2020-07-27T09:50:53.339545Z,Ynet,he,שני בתים של ג'פרי אפשטיין מוצעים למכירה תמורת 110 מיליון דולר,34.8,base:21;primary:properties;topic:properties;era:2020_2024;fulltext:substantive;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
140,3251,2019-08-10T07:00:00+00:00,Público,pt,"Jeffrey Epstein, acusado de tráfico sexual de menores, encontrado morto na prisão",34.5,base:24;primary:political_intelligence;topic:political_intelligence;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
141,3049,2021-11-01T16:19:35Z,Corriere della Sera,it,"«Legami con Epstein»: si dimette l'ad di Barclays, Jes Staley",32.9,base:32;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;era:2020_2024;fulltext:longform;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
142,7056,2023-06-09T20:33:08.305Z,CNBC,en,Jeffrey Epstein accuser seeks new testimony from JPMorgan CEO Jamie Dimon,30.6,base:29;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:political_intelligence;era:2020_2024;fulltext:substantive;documents:1;hash:unique;independence:repeat-capped
143,7202,2020-07-02T21:02:00.000Z,NBC News,en,"Ghislaine Maxwell, Jeffrey Epstein's confidant, arrested in sex abuse probe",30.4,base:63;primary:staff_operations;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:substantive;documents:3;original-signals:1;hash:unique;independence:repeat-capped
144,2459,2021-12-01T06:15:00+01:00,Avisen.dk,da,Pilot: Prins Andrew var med på Epsteins privatfly,30.2,base:8;primary:staff_operations;topic:maxwell;topic:political_intelligence;topic:staff_operations;era:2020_2024;fulltext:substantive;hash:unique;independence:repeat-capped;language:non-en
145,1819,2006-08-04,Palm Beach Post,en,"Ignorance of age not valid defense in sex cases, expert says",29.5,base:66;primary:political_intelligence;topic:political_intelligence;topic:science_philanthropy;era:pre_2015;fulltext:substantive;documents:1;historical:curated;outlet:investigative;hash:unique;independence:repeat-capped
146,1143,2022-02-19T15:43:42.000Z,The Guardian,en,"After Prince Andrew settled, where does the Epstein case go next?",28.9,base:68;primary:wexner_black;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:longform;documents:2;outlet:quality;hash:unique;independence:repeat-capped
147,2732,2022-06-28 20:57:18,Novinky.cz,cs,Maxwellová dostala za lákání nezletilých dívek pro Epsteina 20 let vězení - Novinky,27.8,base:17;primary:maxwell;topic:maxwell;topic:political_intelligence;era:2020_2024;fulltext:substantive;hash:unique;independence:repeat-capped;language:non-en
148,2212,2022-02-19,HotNews.ro,ro,Prietenul și asociatul lui Jeffrey Epstein a fost găsit mort într-o închisoare franceză,27.2,base:13;primary:political_intelligence;topic:maxwell;topic:political_intelligence;era:2020_2024;fulltext:substantive;hash:unique;independence:repeat-capped;language:non-en
149,2331,2021-08-10T06:32:53.978Z,Deutsche Welle,ru,Сына Елизаветы II обвиняют в сексуальном надругательстве,26.1,base:1;primary:other_core;era:2020_2024;fulltext:substantive;hash:unique;independence:first-pass;language:non-en
150,6022,,CBS News,en,Major financial institution reacts to Trump's social media post about alleged Epstein links,25.7,base:13;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:political_intelligence;era:undated;fulltext:substantive;original-signals:1;hash:unique;independence:repeat-capped
151,6329,2024-01-09T12:23:00-0500,CBS News,en,Jeffrey Epstein contact names revealed in unsealed documents. Here are key takeaways from the files.,22.1,base:76;primary:science_philanthropy;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:longform;documents:5;hash:unique;independence:repeat-capped
152,1831,2008-09-10,Palm Beach Post,en,Two more teen girls file civil suit claiming Palm Beach financier Epstein sexually assaulted them,20.9,base:59;primary:properties;topic:properties;topic:legal_accountability;era:pre_2015;fulltext:substantive;documents:1;historical:curated;outlet:investigative;hash:unique;independence:repeat-capped
153,7376,2021-11-29T06:51:15.475Z,NBC News,en,Victims and prosecutors see Ghislaine Maxwell as 'center' of Epstein's scheme ahead of trial,19.8,base:60;primary:wexner_black;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:longform;documents:3;hash:unique;independence:repeat-capped
154,1135,2022-05-28T08:00:26.000Z,The Guardian,en,‘I woke up and he was on top of me’: six women on being abused by fashion agent Jean-Luc Brunel,19.3,base:70;primary:staff_operations;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:longform;documents:3;outlet:quality;hash:unique;independence:repeat-capped
155,7175,2021-03-22T13:37:26.000Z,CNBC,en,Leon Black quits Apollo months earlier than expected following Jeffrey Epstein investment scandal,17.2,base:24;primary:wexner_black;topic:wexner_black;topic:political_intelligence;topic:legal_accountability;era:2020_2024;fulltext:substantive;hash:unique;independence:repeat-capped
156,6454,,CBS News,en,"Ghislaine Maxwell exchanged emails with Epstein as late as 2015, unsealed court documents show",14.5,base:12;primary:maxwell;topic:maxwell;era:undated;fulltext:substantive;documents:1;original-signals:1;hash:unique;independence:repeat-capped
157,7084,2023-05-19T04:23:35.225Z,NBC News,en,JPMorgan seeks files from Manhattan DA in Jeffrey Epstein lawsuits,8.1,base:48;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:political_intelligence;topic:staff_operations;era:2020_2024;fulltext:substantive;documents:3;hash:unique;independence:repeat-capped
158,6334,2024-01-05T15:16:00-0500,CBS News,en,"List of Jeffrey Epstein's associates named in lawsuit can be unsealed, judge rules. Here are details on the document release.",5.9,base:69;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:substantive;documents:3;hash:unique;independence:repeat-capped
159,1063,2024-01-05T14:00:24.000Z,The Guardian,en,A-list names in Epstein documents cache but what prospect of charges?,5.0,base:64;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:properties;topic:legal_accountability;era:2020_2024;fulltext:longform;documents:3;outlet:quality;hash:unique;independence:repeat-capped
160,5883,2025-12-24T14:25:00-0500,CBS News,en,"DOJ releases huge set of Epstein files with many mentions of Trump, says more documents to come",4.5,base:70;primary:political_intelligence;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:5;hash:unique;independence:repeat-capped
161,5682,,CBS News,en,Richard Kahn's opening statements for Epstein files deposition,3.2,base:12;primary:staff_operations;topic:banks_trusts_usvi;topic:staff_operations;era:undated;fulltext:substantive;documents:1;hash:unique;independence:repeat-capped
162,7087,2025-08-05T16:29:40.758Z,CNBC,en,Murdoch to provide Trump health updates in deal to delay Epstein case deposition,2.9,base:21;primary:political_intelligence;topic:political_intelligence;era:2025;fulltext:substantive;documents:2;hash:unique;independence:repeat-capped
163,6951,2024-06-03T19:52:55.785Z,CNBC,en,"Jeffrey Epstein victim sues psychiatrist Henry Jarecki, alleging rape and sex trafficking",1.5,base:30;primary:science_philanthropy;topic:banks_trusts_usvi;topic:political_intelligence;topic:science_philanthropy;topic:legal_accountability;era:2020_2024;fulltext:substantive;hash:unique;independence:repeat-capped
164,6980,2025-09-09T03:03:48.293Z,NBC News,en,Epstein 'birthday book' released with other docs subpoenaed by House panel,1.0,base:52;primary:properties;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:3;original-signals:1;hash:unique;independence:repeat-capped
165,6343,2023-06-27T19:42:00-0400,CBS News,en,"""Numerous and serious failures"" by detention center staff enabled Jeffrey Epstein's suicide, Justice Dept watchdog report finds",-1.8,base:61;primary:staff_operations;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:longform;documents:2;original-signals:1;hash:unique;independence:repeat-capped
166,7409,2020-07-31T18:44:00.000Z,NBC News,en,"Unsealed documents show Epstein, Maxwell correspondence in 2015",-3.1,base:54;primary:properties;topic:maxwell;topic:political_intelligence;topic:properties;topic:legal_accountability;era:2020_2024;fulltext:longform;documents:3;original-signals:1;hash:unique;independence:repeat-capped
167,7107,2025-07-28T17:59:50.013Z,CNBC,en,Trump seeks quick deposition of Murdoch in Epstein letter case,-7.1,base:20;primary:political_intelligence;topic:political_intelligence;topic:properties;era:2025;fulltext:substantive;documents:1;hash:unique;independence:repeat-capped
168,5715,,CBS News,en,"Epstein files fallout reaches Clintons, Gates and casts news questions on Trump links",-7.4,base:17;primary:political_intelligence;topic:political_intelligence;topic:science_philanthropy;era:undated;fulltext:substantive;documents:1;original-signals:1;hash:unique;independence:repeat-capped
169,1292,2020-07-14T19:40:43.000Z,The Guardian,en,Ghislaine Maxwell pleads not guilty in trafficking case,-8.4,base:63;primary:wexner_black;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:longform;documents:2;outlet:quality;hash:unique;independence:repeat-capped
170,6921,2025-12-04T03:21:03.830Z,NBC News,en,Trump says he would release video of Sept. 2 boat strikes; Democrats release fresh images and videos from Epstein's private island,-9.4,base:51;primary:properties;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:2;original-signals:1;hash:unique;independence:repeat-capped
171,6054,2025-10-31T16:40:00-0400,CBS News,en,"Jeffrey Epstein cultivated celebrity relationships for years. Many continued until his 2019 arrest for sex trafficking, documents show.",-10.4,base:72;primary:science_philanthropy;topic:banks_trusts_usvi;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;topic:properties;era:2025;fulltext:longform;documents:4;original-signals:2;hash:unique;independence:repeat-capped
172,7371,2021-12-17T14:42:56.390Z,NBC News,en,Prosecutors keep focus on placing Maxwell at center of Epstein’s sex trafficking ring,-10.8,base:54;primary:science_philanthropy;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:longform;documents:2;hash:unique;independence:repeat-capped
173,801,2025-11-13T05:00:17.000Z,The Guardian,en,"Epstein kept close eye on Trump even after friendship soured, newly released emails reveal",-11.6,base:60;primary:political_intelligence;topic:banks_trusts_usvi;topic:political_intelligence;topic:properties;topic:staff_operations;era:2025;fulltext:longform;documents:3;original-signals:2;outlet:quality;hash:unique;independence:repeat-capped
174,6396,2021-12-30T10:21:00-0500,CBS News,en,Jury finds Ghislaine Maxwell guilty on charges tied to Jeffrey Epstein's sex trafficking ring,-16.1,base:63;primary:staff_operations;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:longform;documents:2;hash:unique;independence:repeat-capped
