recipient_uei,recipient_name,n_awards,window_obligations,ceiling_sum_no_double_count,not_competed_window_obligations,not_competed_share
P98HKXYNA6M9,BOWMAN CONSULTING GROUP LTD,1,176677500.00,176677500.00,176677500.00,1.0
FHKLJV1NP651,SMITHS DETECTION INC.,92,174800694.64,2979414764.29,53622335.07,0.3068
JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,61,174695776.09,13227216401.92,0,0.0
LT1AZYC3CXK5,"DIGNARI, LLC",37,163239917.99,107925801.73,0,0.0
F1PMZXNJ7NM5,"SLSCO, LTD.",4,162317892.14,4119731850.00,0,0.0
UER4AJLUB8D5,"THUNDERCAT TECHNOLOGY, LLC",75,160562570.48,487205312.29,0,0.0
MDSWM6MB1BH7,"LEIDOS, INC.",14,150827933.59,517072107.59,0,0.0
Y54FQAPG4TN5,LOYAL SOURCE GOVERNMENT SERVICES LLC,4,150208460.56,3145719196.73,0,0.0
K8RNMK1CCQW3,PARAGON PROFESSIONAL SERVICES LLC,18,149949783.22,402081478.40,109500475.81,0.7302
MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,8,147240307.24,596825719.55,-206521.23,-0.0014
R64SJRYFDKM7,SAFE AMERICA MEDIA LLC,4,142826104.32,240000000.00,0,0.0
XAWTMCKNAWR9,ANALOGIC CORP,13,142364459.68,1364407673.51,1567345.26,0.011
GJMSFBCNMSK3,"ATLANTIC DIVING SUPPLY, INC.",94,137514386.26,305974648.55,0,0.0
H5M2KCZCA9M3,G4S SECURE SOLUTIONS (USA) INC.,19,132662182.23,820323774.46,-220602.54,-0.0017
LK5RJU5V68X6,"LEIDOS, INC.",6,125981896.81,1084192949.81,94322630.81,0.7487
CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,54,124437953.16,2697676329.08,0,0.0
DT8KJHZXVJH5,CARAHSOFT TECHNOLOGY CORP,43,119341701.15,5883484016.06,51581386.90,0.4322
VV9KH3L99VE3,INTERNATIONAL BUSINESS MACHINES CORPORATION,26,117051471.33,477202082.32,0,0.0
NJF3PMBA8SY7,DAVENPORT AVIATION INC,3,115471531.07,150403545.67,0,0.0
J2GPEJQ1TYG7,S & K SECURITY GROUP LLC,1,114653117.69,359424857.89,114653117.69,1.0
K18HRGF7HW21,INSERSO CORPORATION,2,113137671.07,270931077.57,0,0.0
HERXJEEWZFL7,KVG LLC,1,113052115.78,641795971.68,0,0.0
E3HYKKLT5ZT1,GENERAL ELECTRIC COMPANY,46,112319576.85,408574815.41,90063865.30,0.8019
JAQNMK1AMJT1,BRADLEY TECHNOLOGIES INC,37,110945480.63,1549767770.11,0,0.0
D93YKLC3MK67,GENERAL DYNAMICS ONE SOURCE LLC,8,110896460.78,2090703774.93,0,0.0
Q5LJNF15T2R5,"SALIENT CRGT, INC.",10,108289313.61,1939612775.61,0,0.0
LUDNH5K4XQU9,"AKIMA GLOBAL SERVICES, LLC",18,107676836.23,1469818785.67,0,0.0
TRKEP1HEBNS5,CGI FEDERAL INC.,14,107539519.12,15311709192.68,0,0.0
MMAVC7UGLJ78,BRILLIENT CORPORATION,2,107535632.79,482449884.77,0,0.0
JMVMGGNJGA29,"GOVPLACE, LLC",59,107213536.74,805085020.70,0,0.0
EHDKD39SMZV4,CHARTIS CONSULTING CORPORATION,10,104552499.26,3013863410.77,0,0.0
MDC5LDZKQAM4,BLUE TECH INC.,56,101925647.42,215960753.05,0,0.0
N9NJK877QJK9,GUIDEHOUSE INC.,137,100343789.45,1052655232.09,191118.89,0.0019
EW97MHKPD1P8,"TRM LABS, INC.",9,100325517.00,110544908.95,100325517.00,1.0
HST3AH9JCNN1,"SEV1TECH, LLC",10,98468239.60,303686511.15,0,0.0
SRFGXDGTHRU6,"MARCOM GROUP, INC",3,98404061.00,95000000.00,0,0.0
CK69CE2FGMM8,"BATTELLE NATIONAL BIODEFENSE INSTITUTE, LLC",9,97894648.18,557340300.52,0,0.0
H6WGLRDCU6D8,"ASRC FEDERAL FIELD SERVICES, LLC",14,97657224.08,601103254.17,15737931.66,0.1612
LX3BSV6NNW58,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,31,96939968.19,433212211.47,0,0.0
NSPMUN5U9GZ3,VENDTECH-SGI LLC,10,96349471.00,397856943.03,0,0.0
XYB4JU4PA6T4,"ECS FEDERAL, LLC",20,93487907.13,901368115.77,0,0.0
J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,11,92581151.96,1395940473.76,0,0.0
UTJWTSLMFNG4,SIKORSKY AIRCRAFT CORPORATION,71,91742188.59,529236800.02,91175495.59,0.9938
DMHDNDCPWUD1,THE MITRE CORPORATION,159,90391003.92,1196560966.41,70579665.92,0.7808
DJUCEANK2KP4,NORTHROP GRUMMAN SYSTEMS CORPORATION,3,89695372.44,960139063.15,0,0.0
HHWGP4HH1Y68,"LIMA CHARLIE, INC",124,89293905.73,337806932.26,1258503.60,0.0141
ULHMANN9V8A5,"VMD SYSTEMS INTEGRATORS, LLC",9,87813421.91,8618761296.96,0,0.0
JCGFHM1L1JX9,"AMERGIS HEALTHCARE STAFFING, INC.",2,87112228.00,2621976226.00,0,0.0
J4KHM5JY79E3,"V3GATE, LLC",29,86300019.61,190920285.76,0,0.0
JY2BDT2K58Z6,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",10,84496712.24,883834119.60,134678.31,0.0016
DPQEDJ6CXZM5,"PANAMERICA COMPUTERS, INC.",89,83711641.59,249749711.24,76173.52,0.0009
DMERLBE3JR53,SWISH DATA CORPORATION,25,83544808.21,128221294.77,0,0.0
LAD2HL1R71Z3,"AIRBUS HELICOPTERS, INC.",100,82317040.41,431998632.45,82317040.41,1.0
CKH8AS2PDEW3,"TRAILBOSS ENTERPRISES, INC.",10,81876046.23,325711648.93,0,0.0
LBP9NHTYELK3,"INFORMATION TECHNOLOGY STRATEGIES, INC.",5,81334763.20,613184526.60,0,0.0
F2Y4MRAP3AN5,GLOBAL MARITEK SYSTEMS INC,1,77812954.34,401584202.00,0,0.0
G7WGK6L5ES76,"TELEDYNE FLIR DEFENSE, INC.",16,77251957.24,97592624.59,77251957.24,1.0
Z4UXD1X1HL99,"PEOPLE WHO THINK, L.L.C.",5,77148395.00,240000000.00,0,0.0
GFTGQRJ8F959,DEPLOYED RESOURCES LLC,16,77130107.56,3363152773.59,7466580.00,0.0968
NNK9K1JVKNU1,ADC LTD NM,13,76493737.85,243817881.75,0,0.0
Q1DVL2FMEYR4,"EKAGRA PARTNERS, LLC",5,75965635.28,309850445.42,0,0.0
MWDRZJ2ZVPV7,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",8,72340475.22,284572215.36,72340475.22,1.0
R98MW4ZKUUK3,GOVERNMENT ACQUISITIONS INC,54,71138555.15,146080133.98,0,0.0
KKWALQKX5A67,SIMMONS & GOLDEN SECURITY LLC,17,70525560.74,1510145155.15,0,0.0
MXG2MQ1LJRV5,SINTELA INC,5,68300352.32,200000000.00,68300352.32,1.0
TBW7MGPYURM7,"AXON ENTERPRISE, INC.",30,67247827.40,427719561.78,62664576.97,0.9318
HFK9V1G2B513,"MOTOROLA SOLUTIONS, INC.",22,67038196.02,6000267300.00,267300.00,0.004
P78LRLNYPUF4,PERATON RISK DECISION INC.,12,66698146.40,547817095.55,0,0.0
XLL3UPBT4MW6,AVANTUS FEDERAL LLC,4,66583351.94,22228764734.11,0,0.0
J16ZWJLVHEY5,"ADVANCED TECHNOLOGY SYSTEMS COMPANY, INC. (OF VIRGINIA)",3,65515509.38,1824161890.00,0,0.0
XK11LLUL61A7,"NEW TECH SOLUTIONS, INC.",76,64927810.24,3166707263.77,0,0.0
DJACUETFQUL8,"GOVSMART, INC.",33,63775195.79,97559969.42,0,0.0
F9KSDU7L9VP6,DELOITTE & TOUCHE LLP,25,62932853.27,404087504.28,0,0.0
NZ9CUMF36PK1,FLUOR FEDERAL SERVICES INC,19,62601524.91,661956420.79,0,0.0
DGJ7M32ZMKN3,"ACUITY-CHS, LLC",12,61363786.12,175000000.00,0,0.0
K77SAUK7G9E4,"GOLDEN SVCS, LLC",11,60781714.59,3463870548.28,0,0.0
ENKUFZYYKJG5,KR-MTAC LLC,17,60681461.03,1250212151.00,0,0.0
RW1NA7E92XR5,QED ENTERPRISES INC.,2,60646603.18,161471866.93,0,0.0
G58ZEJ7HJGM1,MANAGEMENT & TRAINING CORPORATION,6,59007562.98,961194038.61,0,0.0
NG5DSM9C8EE7,SAFE BOATS INTERNATIONAL LLC,55,58947352.02,441401336.86,40829643.22,0.6926
E57CG415HEZ5,"MAYVIN, INC.",3,58845213.53,229454670.18,0,0.0
