solicitation_id,n_awards,n_distinct_awardees,modal_offers_received,offers_values_seen,everyone_who_offered_won,awardees_exceed_offers,shared_ceiling_suspected,shared_or_max_ceiling,family_ceiling_sum,family_window_obligations_members,child_task_order_window_obligations,any_idv,components,sample_recipients
HSFE80-17-R-0005,5,5,10,10x5,0,0,0,731952500.00,2199047500.00,567085.00,-2579143.22,1,Federal Emergency Management Agency,"APTIM FEDERAL SERVICES, LLC;DISASTER SOLUTIONS ALLIANCE, LLC;MLU SERVICES, LLC;TIMBERLINE CONSTRUCTION GROUP, LLC;WINDSTORM, INC."
70Z0G325QESD30001,3,3,20,20x3,0,0,1,700000000.00,2100000000.00,0,2109252.66,1,U.S. Coast Guard,ACTIVE DEFENSE JV LLC;ATTAINX INC.;VIVSOFT TECHNOLOGIES LLC
70CDCR24R00000007,5,5,8,8x5,0,0,0,484248770.87,1996429793.50,0,43935791.08,1,U.S. Immigration and Customs Enforcement,"ASSET PROTECTION & SECURITY SERVICES, L.P.;G4S SECURE SOLUTIONS (USA) INC.;GEO TRANSPORT, INC.;SPECTRUM SECURITY SERVICES, INC.;STARSIDE SECURITY & INVESTIGATION INC"
70FB7019R00000008,2,2,6,6x2,0,0,0,943000000.00,1886000000.00,0,-47947624.1,1,Federal Emergency Management Agency,VANGUARD INSPECTION SERVICES;WSP USA SERVICES INC.
70Z04423RBOD62217,8,8,14,14x8,0,0,1,233300000.00,1866400000.00,0,29976410.75,1,U.S. Coast Guard,"ABACO INSIGHT SOLUTIONS LLC;ACTIVE DEFENSE JV LLC;AKIMA SYSTEMS ENGINEERING LLC;CHUGACH DYNAMIC SOLUTIONS LLC;GOLDBELT PRISM, LLC;SEA TECHNOLOGY SYSTEMS, LLC"
70FB8024R00000028,3,2,9,9x2;4x1,0,0,0,918000000.00,1838736336.75,3245615.31,40000391.26,1,Federal Emergency Management Agency,VANGUARD INSPECTION SERVICES;WSP USA SERVICES INC.
70RCSJ23Q00000005,3,3,37,37x3,0,0,1,500000000.00,1500000000.00,0,0,1,Office of Procurement Operations,"ATTAINX INC.;ELECTROSOFT SERVICES, LLC;SOFITC3, LLC"
70RFP218REC000001,2,2,7,7x2,0,0,0,772380891.39,1469247951.39,0,38651781.88,1,Office of Procurement Operations,MASTER SECURITY COMPANY LLC;TRIPLE CANOPY INC
26-SOL-DCR-01,14,14,51,51x12;53x2,0,0,0,365821218.75,1442909640.02,0,19032607.0,1,U.S. Immigration and Customs Enforcement,AI SOLUTIONS 87 LLC;B.I. INCORPORATED;BLUEHAWK LLC;CAPGEMINI GOVERNMENT SOLUTIONS LLC;CONSTELLATION INC;ENPROVERA CORP
70B03C20R00000127,3,3,4,4x3,0,0,1,468000000.00,1404000000.00,0,75574235.0,1,U.S. Customs and Border Protection,"ASTROPHYSICS INC;LEIDOS, INC.;RAPISCAN SYSTEMS INC"
70SBUR25R00000006,10,6,29,29x6;6x4,0,0,0,200000000.00,1208555384.00,8555384.00,12356992.0,1,U.S. Citizenship and Immigration Services,"AD ASTRA, INC.;GLOBAL IMPACT GROUP LLC;LANGUAGE LINE, LLC;LEGAL INTERPRETING SERVICES, INC.;LIONBRIDGE GLOBAL SOLUTIONS II INC.;UNIVERSE TECHNICAL TRANSLATION, INC."
70FB8024R00000002,4,4,12,12x4,0,0,1,297000000.00,1188000000.00,0,2124900.0,1,Federal Emergency Management Agency,"BOWLING MOTORS & R.V. SALES, INC.;DAD'S CAMPER OUTLET, LLC;PALM BEACH R.V., INC.;PANHANDLE RV, INC."
70Z04422RESD30016,4,4,6,6x4,0,0,1,295000000.00,1180000000.00,0,18529228.28,1,U.S. Coast Guard,AKIMA SYSTEMS ENGINEERING LLC;CHUGACH TECHNICAL SOLUTIONS LLC;CVTEK LLC;OCH-SAWDEY JOINT VENTURE LLC
70FB7021R00000006,2,2,3,3x2,0,0,0,736556189.69,1169251090.63,0,-2000.0,1,Federal Emergency Management Agency,"CEVA FREIGHT LLC;CROWLEY GOVERNMENT SERVICES, INC."
70RDAD22R00000002,4,4,10,10x4,0,0,1,281230696.00,1124922784.00,0,0,1,Office of Procurement Operations,"CDR HEALTH CARE INC;MEDICAL RESPONSE PARTNERS, LLC;OPTUMSERVE HEALTH SERVICES, INC.;WALGREEN CO."
70CDCR20R0000001,2,2,1,1x1;2x1,0,1,0,609272381.53,1062916082.75,0,164162395.33,1,U.S. Immigration and Customs Enforcement,"CORECIVIC, INC.;THE GEO GROUP, INC."
70FB7021R00000018R,2,2,7,7x2,0,0,0,431534532.32,860489064.64,0,-9561381.55,1,Federal Emergency Management Agency,"COMPOSITE ANALYSIS GROUP, INC.;READY AMERICA INC"
HSHQDC-17-R-00052,4,4,6,6x4,0,0,1,207000000.00,828000000.00,0,0,1,Office of Procurement Operations,"ENGILITY SERVICES, LLC;INVERIS TRAINING SOLUTIONS, INC;LASER SHOT, INC.;SHOOTING RANGE INDUSTRIES LLC"
70FB7021R00000027,6,3,6,6x3,0,0,0,315796380.00,793192927.62,4539750.40,24527682.9,1,Federal Emergency Management Agency,"AMERIQUAL GROUP LLC;BAXTERS NORTH AMERICA, INC.;NEX-XOS WORLDWIDE LLC"
70FB7020R00000001,4,3,5,5x3,0,0,0,301744300.00,771750888.89,-1363175.00,-29241386.03,1,Federal Emergency Management Agency,"CROWLEY GOVERNMENT SERVICES, INC.;ESTES EXPRESS LINES;J. B. HUNT TRANSPORT INC"
70B01C26R00005818,2,2,6,6x2,0,0,0,382728649.90,642924649.90,629688405.70,0,0,U.S. Customs and Border Protection,"BARNARD CONSTRUCTION COMPANY, INCORPORATED;SPENCER CONSTRUCTION LLC"
70RTAC24Q00000044,4,4,25,25x4,0,0,1,153430868.32,613723473.28,0,27200123.24,1,Office of Procurement Operations,"3GIMBALS LLC;ASET PARTNERS CORP.;CFOCUS SOFTWARE INCORPORATED;INTEGRITY MANAGEMENT CONSULTING, INC."
70US0926R70093552,3,3,9,9x3,0,0,1,198000000.00,594000000.00,0,7940626.66,1,U.S. Secret Service,"ARCUS GROUP, LLC;BARRICADE INTERNATIONAL LLC;CHECKMATE GLOBAL, LLC"
HSHQDN-17-R-0002,2,2,7,7x2,0,0,0,291400000.00,582800000.00,0,454006.68,1,Office of Procurement Operations,"LEIDOS SECURITY DETECTION & AUTOMATION, INC.;SMITHS DETECTION INC."
70SBUR21R00000007,5,5,35,35x5,0,0,0,143467492.60,560639769.37,87163895.32,0,0,U.S. Citizenship and Immigration Services,"ALETHIX, LLC;CUSTOMER VALUE PARTNERS, LLC;EKAGRA PARTNERS, LLC;HIGHLIGHT TECHNOLOGIES, INC.;STEAMPUNK, INC."
70SBUR24Q00000106,6,6,22,22x3;9x2;8x1,0,0,0,125971662.40,500864763.57,45264979.31,0,0,U.S. Citizenship and Immigration Services,"BRIDGEPHASE LLC;FUSIONEDGE SOLUTIONS LLC;KYC ADVISORS LLC;PEREGRINE DIGITAL SERVICES, LLC;RED CEDAR HARMONIA LLC;STELLA JV, LLC"
70Z02326R93280001,5,5,18,18x5,0,0,1,99000000.00,495000000.00,0,7771250.0,1,U.S. Coast Guard,"BORDELON MARINE, L.L.C.;FEDERATED MARITIME LLC;GALLIANO MARINE SERVICE, L.L.C.;HORNBECK OFFSHORE OPERATORS LLC;THAYERMAHAN, INC"
70FB7024R00000006,3,3,5,5x3,0,0,0,168266868.86,481565034.99,0,-6000.0,1,Federal Emergency Management Agency,"ALPHAVETS, INC;MASTER CHIEF SOLUTIONS, LLC;SANDHILLS PRODUCTS & SERVICES, L.L.C."
70RDA225R00000015,2,2,3,3x2,0,0,0,240000000.00,480000000.00,500.00,219973999.32,1,Office of Procurement Operations,"PEOPLE WHO THINK, L.L.C.;SAFE AMERICA MEDIA LLC"
70FBR923Q00000061,8,3,1,1x4;3x1,0,1,0,300000000.00,461842991.24,11283276.08,130607529.0,1,Federal Emergency Management Agency,"AESTHETIC HOME INVESTMENTS LLC;LIMA CHARLIE, INC;PARLIAMENT LLC"
HSTS04-14-R-CT4049,2,2,14,14x1,0,0,0,450000000.00,451302364.02,0,-797520.9,1,Transportation Security Administration,"LEIDOS, INC.;V2X AEROSPACE LLC"
HSFE60-14-R-0002,3,3,5,5x3,0,0,1,149000000.00,447000000.00,0,-6662743.22,1,Federal Emergency Management Agency,BOOZ ALLEN HAMILTON INC;CDM FEDERAL PROGRAMS CORPORATION;DEWBERRY ENGINEERS INC.
70SBUR22R00000005,4,4,22,22x4,0,0,0,174537374.57,401579120.47,115956296.22,0,0,U.S. Citizenship and Immigration Services,"ADG-REI TECHNOLOGY VENTURES, LLC;ALPHA OMEGA INTEGRATION LLC;DV UNITED LLC;SOFTRAMS LLC"
70Z08224RCEUM0001,8,8,9,9x8,0,0,1,50000000.00,400000000.00,0,24827964.15,1,U.S. Coast Guard,"BARBER KLEIN CONTRACTORS, LLC;CHRISTIE BROTHERS-SBG JV LLC;E.L.C.I. CONSTRUCTION GROUP, INC.;G.M. HILL ENGINEERING, INC.;GULF PACIFIC CONTRACTING LLC;INTERGRATED CONSTRUCTION MANAGEMENT, INC."
HSCG23-10-R-MOT005,5,2,8,8x2,0,0,0,192871255.71,388190765.66,0,0.0,1,U.S. Coast Guard,GRAVOIS ALUMINUM BOATS LLC;SAFE BOATS INTERNATIONAL LLC
70RWMD20R00000003,3,3,10,10x3,0,0,1,121402162.56,364206487.68,0,2812381.2,1,Office of Procurement Operations,"MIRION TECHNOLOGIES (CANBERRA), INC.;POLIMASTER INC;THERMO EBERLINE LLC"
70FB7019R00000020,3,3,15,15x3,0,0,0,130185230.00,350093544.00,0,-19215000.0,1,Federal Emergency Management Agency,"DPALEX, INC.;J & M INDUSTRIES, INC.;ROYAL DISTRIBUTORS LLC"
70Z0G124RCEUP0001,5,5,6,6x5,0,0,1,65000000.00,325000000.00,0,15032297.59,1,U.S. Coast Guard,"CCI ENERGY AND CONSTRUCTION SERVICES, LLC;CITY ENTERPRISE INC;DOYON MANAGEMENT SERVICES, LLC;KOMAN GOVERNMENT SOLUTIONS LLC;TARA-CAMPBELL JV LLP"
70FB7022R00000002,2,2,5,5x2,0,0,0,209283026.73,317600975.46,0,0,1,Federal Emergency Management Agency,"CSI AVIATION, INC;IEM INTERNATIONAL, INC."
