holder_id,business_name,holder_key,license_numbers,dbas,scope_classes,query,current_state,lapsed_state
BH-460f0335d0f5f929,"ALGONQUIN CLUB HEXAGON, LLC",ALGONQUINCLUBHEXAGONLLC,"[""LB-98780""]","[""The 'Quin House""]","[""alcohol_license""]",ALGONQUIN CLUB HEXAGON,pending,pending
BH-848535fb2f0d8edd,Alina Morris,ALINAMORRIS,"[""LB-569775""]","[""DJ's Market""]","[""alcohol_license""]",Alina Morris,pending,pending
BH-33bf88444f20107e,"ALLSTON BBQ, LLC",ALLSTONBBQLLC,"[""LB-99639""]","[""BB.Q Chicken""]","[""alcohol_license""]",ALLSTON BBQ,pending,pending
BH-efda75f348d6ac97,Allston Live Concessions LLC,ALLSTONLIVECONCESSIONSLLC,"[""LB-99094""]","[""O'Brien's Pub""]","[""alcohol_license""]",Allston Live Concessions,pending,pending
BH-940bf0a7247aefa5,"Allston Phase A Hotel TRS, Inc.",ALLSTONPHASEAHOTELTRSINC,"[""LB-99039""]","[""Atlas Hotel""]","[""alcohol_license""]",Allston Phase A Hotel TRS,pending,pending
BH-0c35c7cda79060f7,"Allston Silhouette Lounge, LLC",ALLSTONSILHOUETTELOUNGELLC,"[""LB-98956""]","[""SILHOUETTE LOUNGE""]","[""alcohol_license""]",Allston Silhouette Lounge,pending,pending
BH-eac31e7b0145e783,ALLSTON VENTURE FIVE INC.,ALLSTONVENTUREFIVEINC,"[""LB-99012""]","[""THE AVENUE BAR & GRILL""]","[""alcohol_license""]",ALLSTON VENTURE FIVE,pending,pending
BH-5d08430ebe62fffe,"AL-WADI RESTAURANT, LLC",ALWADIRESTAURANTLLC,"[""LB-160790""]","[""AL-WADI""]","[""alcohol_license""]",AL-WADI RESTAURANT,pending,pending
BH-5fbfc8df5169cc5c,Amabaka Corporation,AMABAKACORPORATION,"[""LB-582324""]","[""Momo Masala""]","[""alcohol_license""]",Amabaka,pending,pending
BH-508db9847b0b5f3d,"AM CALLEJAS, INC.",AMCALLEJASINC,"[""LB-98894""]","[""La Hacienda and Bar""]","[""alcohol_license""]",AM CALLEJAS,pending,pending
BH-90f777039fd10689,"Amelia’s Taqueria IV, Inc.",AMELIASTAQUERIAIVINC,"[""LB-99801""]","[""Amelia’s Taqueria""]","[""alcohol_license""]",Amelia’s Taqueria IV,pending,pending
