kind,slug,route,requested_url,local_exists,live_indexed,local_redirect_target,initial_status,final_status,final_url,availability,prose_comparison,title_same,section_headings_same,system_role_same,open_questions_same,local_prose_words,live_prose_words,local_prose_sha256,live_prose_sha256,local_file_sha256_at_cutoff,live_response_sha256,finding_text_comparison,local_finding_records,live_finding_cards,local_only_finding_text_count,live_only_finding_text_count,started_at_utc,completed_at_utc,error
dossiers,dhs-enforcement-nexus,/dossiers/dhs-enforcement-nexus,https://ithildin.app/dossiers/dhs-enforcement-nexus,True,True,,308,200,https://ithildin.app/dossiers/dhs-enforcement-nexus/,live_and_local,same,True,True,True,True,2517,2517,a93b462aacfa24aa8431d99d0c2628b92244bf8bb84e4f28886b5e7f708c3847,a93b462aacfa24aa8431d99d0c2628b92244bf8bb84e4f28886b5e7f708c3847,dee747d369ec9fb86e6a92ded0332fe24cdf7e349040ff1d929dae14c402b6fc,9b51aa7840c8a3ef102ecf08ab7c756d92b1ef1ffc19afbea15f4965efd47548,same,5,5,,,2026-09-06T01:18:38.692062+00:00,2026-09-06T01:18:38.955785+00:00,
dossiers,dhs-procurement,/dossiers/dhs-procurement,https://ithildin.app/dossiers/dhs-procurement,True,True,,308,200,https://ithildin.app/dossiers/dhs-procurement/,live_and_local,same,True,True,True,True,1371,1371,5209af1ee352616bfadb34f4219cb8fd57e160cdd4be79f9074a74975dc34aa2,5209af1ee352616bfadb34f4219cb8fd57e160cdd4be79f9074a74975dc34aa2,7724e639da45fcefe5fbcb04f8bed4050a58f6aba41ec2c2ede3a433408c26e9,090f34ed672f131a897f322508640409da053e599378beece7dd3ceab177a601,same,13,13,,,2026-09-06T01:18:38.779830+00:00,2026-09-06T01:18:38.974814+00:00,
dossiers,dhs-save-database,/dossiers/dhs-save-database,https://ithildin.app/dossiers/dhs-save-database,True,True,,308,200,https://ithildin.app/dossiers/dhs-save-database/,live_and_local,no_authored_prose_either,True,True,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ac601fdd3debff4ea907d6e957c81c5e54fda22041b6bc54085eb20c26650fc6,afec7e3151338329c238de414db65052808fbe8b9412bf7232a50b7ebaf7acc7,same,12,12,,,2026-09-06T01:18:39.025479+00:00,2026-09-06T01:18:39.225948+00:00,
dossiers,diicot-case-1-reindictment-2025,/dossiers/diicot-case-1-reindictment-2025,https://ithildin.app/dossiers/diicot-case-1-reindictment-2025,True,True,,308,200,https://ithildin.app/dossiers/diicot-case-1-reindictment-2025/,live_and_local,no_authored_prose_either,True,True,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,216b8105486e1a45411455836fe1f1db4bf48599b95a66f0c1be32b2707f3004,b0c6e2be2813e4ceee10c64e491ad89b8461913ab03ba92aa3e7941e57b973ca,same,5,5,,,2026-09-06T01:18:39.123391+00:00,2026-09-06T01:18:39.339098+00:00,
dossiers,diversified-energy-co,/dossiers/diversified-energy-co,https://ithildin.app/dossiers/diversified-energy-co,True,True,,308,200,https://ithildin.app/dossiers/diversified-energy-co/,live_and_local,no_authored_prose_either,True,True,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,8b4cb4d021c7df89a66ec9cfc7f4a96b94e731590be5114a29968dfb96350d22,acc96653ea77f9ef6f6251d410fd657d3eabddd64cdea0bf2162091194c2f369,same,8,8,,,2026-09-06T01:18:39.137940+00:00,2026-09-06T01:18:39.507559+00:00,
dossiers,doge,/dossiers/doge,https://ithildin.app/dossiers/doge,True,True,,308,200,https://ithildin.app/dossiers/doge/,live_and_local,same,True,True,True,True,2283,2283,abd2c7758d3df908ef208a7ddfbd37d284396d1153e5f221fa2ce0c6d3c827c3,abd2c7758d3df908ef208a7ddfbd37d284396d1153e5f221fa2ce0c6d3c827c3,5a82cf7fc91fe03ba52fedf4feb8472255a2db03365f35a3b0f41ebdb98562ee,a267e0445c82d6e4db07fe088c29dd2820aade8cd1797ce76fbfe3456743c484,same,106,106,,,2026-09-06T01:18:39.203799+00:00,2026-09-06T01:18:39.474979+00:00,
dossiers,doge-operations,/dossiers/doge-operations,https://ithildin.app/dossiers/doge-operations,True,True,,308,200,https://ithildin.app/dossiers/doge-operations/,live_and_local,no_authored_prose_either,True,True,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,de3a512c581c67c355665bfc232ce5ee9e9bdc4177d9237dfe85bae540a61552,bbc35ce388eeb37756e64da2e757071de82ea5957d59e1dcca769a1509e4776c,same,8,8,,,2026-09-06T01:18:39.381056+00:00,2026-09-06T01:18:39.596259+00:00,
dossiers,doge-personnel,/dossiers/doge-personnel,https://ithildin.app/dossiers/doge-personnel,True,True,,308,200,https://ithildin.app/dossiers/doge-personnel/,live_and_local,no_authored_prose_either,True,True,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1d68027fe0a75b808e4705f67164a47e8e310ac9528295b262660da3e589a8a9,446e812b73726749c030c386f7afa0dc68cc69f2cd578ea634f9bc80f9e8fe4f,same,14,14,,,2026-09-06T01:18:39.500140+00:00,2026-09-06T01:18:39.750579+00:00,
dossiers,doj-civil-rights-division,/dossiers/doj-civil-rights-division,https://ithildin.app/dossiers/doj-civil-rights-division,True,True,,308,200,https://ithildin.app/dossiers/doj-civil-rights-division/,live_and_local,no_authored_prose_either,True,True,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,9a9a13e0dddea1974cf7162b11053f57cc983d2d6e53025d0ee9c60d4262fc56,f9a645baa36763f11542fbb013fb3bff31b68993697eb53fde8157b7b7c23975,same,17,17,,,2026-09-06T01:18:39.659518+00:00,2026-09-06T01:18:39.946637+00:00,
dossiers,doj-voting-section,/dossiers/doj-voting-section,https://ithildin.app/dossiers/doj-voting-section,True,True,,308,200,https://ithildin.app/dossiers/doj-voting-section/,live_and_local,same,True,True,True,True,1642,1642,272c5eca9f7ce6b4cd0cf938bcdf81288741469de58e18e80c10257e983fc680,272c5eca9f7ce6b4cd0cf938bcdf81288741469de58e18e80c10257e983fc680,fd31a2dcbd141e549c19512ca86915f57643ec81c1cc387f67d183e0762c55cb,e637e431d4e0e8b7831db4443483e5697bbed543567093a36c6a081a9494947d,same,14,14,,,2026-09-06T01:18:39.663989+00:00,2026-09-06T01:18:39.936542+00:00,
dossiers,dominica-cbi-program,/dossiers/dominica-cbi-program,https://ithildin.app/dossiers/dominica-cbi-program,True,True,,308,200,https://ithildin.app/dossiers/dominica-cbi-program/,live_and_local,no_authored_prose_either,True,True,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,469f381894ef4f1a7d2878c20a951b0a9f0a72bb44bbf33bbbaa6b77d509516c,2c4232f9418cbbeb52ca8cb79fd8a42f4cafdf18a2bacb48cfc92ad2a697018c,same,8,8,,,2026-09-06T01:18:39.753749+00:00,2026-09-06T01:18:39.953884+00:00,
dossiers,donald-mcgahn-ii,/dossiers/donald-mcgahn-ii,https://ithildin.app/dossiers/donald-mcgahn-ii,True,True,,308,200,https://ithildin.app/dossiers/donald-mcgahn-ii/,live_and_local,no_authored_prose_either,True,True,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,16b8c391f45f850d67161fce509027f83d940ad21b1da1462d68989dd3621b47,ae8d1e1a56e65c8afdcf1c72e602fc0646b0860105b76ba8a73e976d0b62e0a7,same,8,8,,,2026-09-06T01:18:39.905998+00:00,2026-09-06T01:18:40.037327+00:00,
dossiers,donorstrust-inc,/dossiers/donorstrust-inc,https://ithildin.app/dossiers/donorstrust-inc,True,True,,308,200,https://ithildin.app/dossiers/donorstrust-inc/,live_and_local,no_authored_prose_either,True,True,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c0fa7e5ca48549aa89efa7a537fb3cbff0bdd3bfa6669713436b86ab2e0c6c9d,bfe7865847761ffbd8c13e20ba1baa19ab064dad8c989b627cb979fa32588373,same,5,5,,,2026-09-06T01:18:40.098405+00:00,2026-09-06T01:18:40.283526+00:00,
dossiers,drew-horn,/dossiers/drew-horn,https://ithildin.app/dossiers/drew-horn,True,True,,308,200,https://ithildin.app/dossiers/drew-horn/,live_and_local,same,True,True,True,True,1679,1679,82ba093e004d2a435ca1aa3f87cfff0e92e824e5491b3c56beef0fe1cbd0a866,82ba093e004d2a435ca1aa3f87cfff0e92e824e5491b3c56beef0fe1cbd0a866,b3ba75e9c9042f1443ff162be69be90583bb416d5dd8628f7976d03bd8039f9b,06ff98fcf736565543728c2679a255dd6ee96e4af4c0d4c3c99c3fb34655068a,same,13,13,,,2026-09-06T01:18:40.104808+00:00,2026-09-06T01:18:40.297809+00:00,
dossiers,edmond-de-rothschild-bank,/dossiers/edmond-de-rothschild-bank,https://ithildin.app/dossiers/edmond-de-rothschild-bank,True,True,,308,200,https://ithildin.app/dossiers/edmond-de-rothschild-bank/,live_and_local,same,True,True,True,True,1616,1616,602de309f852f49678a522b85e4e2cf785c159478b473617af36df6726272649,602de309f852f49678a522b85e4e2cf785c159478b473617af36df6726272649,80c509ed26c41ea0f039597e7259a4b95571fe5d487369c7b59af8d5abdbde04,81d5fa23ebd5bcb98de28589c30108c695797a69593c40bfbb87d5008e0f2a1a,same,15,15,,,2026-09-06T01:18:40.108589+00:00,2026-09-06T01:18:40.514068+00:00,
dossiers,edmond-safra,/dossiers/edmond-safra,https://ithildin.app/dossiers/edmond-safra,True,True,,308,200,https://ithildin.app/dossiers/edmond-safra/,live_and_local,same,True,True,True,True,1619,1619,2fdc0d10b1653a8591b5654481e1b96fe387686ada29b984e9621588a944f8ee,2fdc0d10b1653a8591b5654481e1b96fe387686ada29b984e9621588a944f8ee,461236e8e72280bf434e24c1819bf1e120e2cfeeaa83a549abc8c657d15b847b,c425e24343d7cdb00592377f1be41fee06e943d50fa1509080e7c4bb2fa13378,same,9,9,,,2026-09-06T01:18:40.190736+00:00,2026-09-06T01:18:40.498148+00:00,
dossiers,eduardo-teodorani,/dossiers/eduardo-teodorani,https://ithildin.app/dossiers/eduardo-teodorani,False,False,eduardo-teodorani-fabbri,308,200,https://ithildin.app/dossiers/eduardo-teodorani-fabbri/,redirect,redirect_not_own_content,,,,,,,,,,90bf1d9de7afdc2d9669f075e6b23e50b2156725a34bbdf95ac4577a36a0062a,,,,,,2026-09-06T01:18:40.495501+00:00,2026-09-06T01:18:40.954731+00:00,
dossiers,eduardo-teodorani-fabbri,/dossiers/eduardo-teodorani-fabbri,https://ithildin.app/dossiers/eduardo-teodorani-fabbri,True,True,,308,200,https://ithildin.app/dossiers/eduardo-teodorani-fabbri/,live_and_local,same,True,True,True,True,3375,3375,2f143f4f78dda5c98252b59e33b5cf1560ff5bcc7c926829d139363885bd60a3,2f143f4f78dda5c98252b59e33b5cf1560ff5bcc7c926829d139363885bd60a3,87e0b56c8f2d474c378085b84da5a057a6f5deec91c65c35f1e96a5ba63147a6,973e5d8122109b280ee9dbba45d4723b45a498fcf4599f89ddd2c1bae3e40d0e,same,48,48,,,2026-09-06T01:18:40.497765+00:00,2026-09-06T01:18:40.726472+00:00,
