license_num,business_name,dba_name,license_type,holder_key,sample_rank
LB-99139,"UNION OYSTER HOUSE, INC.",UNION OYSTER HOUSE,CV7 All Alc.,UNIONOYSTERHOUSEINC,7475338b148ce9c5dbda36c478f40ced9606349d52dcaad0d2a4457b24c602e7
LB-99192,GOLDEN VINTAGE GROUP LLC,VINTAGE LOUNGE,CV7 All Alc.,GOLDENVINTAGEGROUPLLC,755315a7d787e3aeac9c60baf632eb0e656b0faddecaf41d903c1ab72be47384
LB-98984,"COSTELLO'S TAVERN, INC.",COSTELLO'S TAVERN,CV7 All Alc.,COSTELLOSTAVERNINC,756f5e6559aa66ff6eb1e0de14f3833c5f96f720c01c63c676d7b239c3288aa3
LB-99220,"Boston SF, LLC",Sugar Factory,CV7 All Alc.,BOSTONSFLLC,7619b849d8d97ae0f7777c68c5f7c27e40bf5977ac94a852be8ca06e67dae5be
LB-99244,"International Place Location, LLC",Aries Club,CV7 All Alc.,INTERNATIONALPLACELOCATIONLLC,765b7b37d69a7d4fb6ae5cc4eec0796cce47d48cc3f5b1a2bb368b12ed7783ec
LB-99425,"888 Boylston Food, LLC",DEL FRISCO'S DOUBLE EAGLE STEAKHOUSE,CV7 All Alc.,888BOYLSTONFOODLLC,76bd14f97123004797bb06afa83df2814a7db6ffe46e4aaa41bc424357e15e41
LB-99412,"GMRI, INC.",THE OLIVE GARDEN ITALIAN RESTAURANT,CV7 All Alc.,GMRIINC,77a42bfaed62a8bb54fdba88e90120e557aefb5bfc8935ad57938f864004b996
LB-99058,"James Associates, LLC.",THE BROADWAY,CV7 All Alc.,JAMESASSOCIATESLLC,77f67f5d44cbda4318b2dec43db3e7b6b6c5a63226acbb103264ef8a2414ac58
LB-99207,"MACUMBA LATINA, INC.",MACUMBA LATINA,CV7 All Alc.,MACUMBALATINAINC,7842b430017673007a275b8fca451ee3ad6ad6bc7fcebc51d0f4de0dbf06f00a
LB-99370,Santa Fe Burrito Grill East Boston LLC,Santa Fe Burrito Grill,CV7 All Alc.,SANTAFEBURRITOGRILLEASTBOSTONLLC,78748842a7352810d687fdb44d4491fe5ec032aaad7f9edb30ef4c4767b148c9
LB-99133,"IRISH VILLAGE, INC.",IRISH VILLAGE,CV7 All Alc.,IRISHVILLAGEINC,78aff1f3a6169738198345ba135f81b26a480c633ef8eeb635324269f9f600b2
LB-98903,"THE CATERED AFFAIR, INC.",Boston Athenaeum,CV7 All Alc.,THECATEREDAFFAIRINC,78b355cf539cfad9644d4ef9f3da16cac8c255c7299befabab805461ce882e42
LB-99191,Puttshack Boston Seaport LLC,Puttshack,CV7 All Alc.,PUTTSHACKBOSTONSEAPORTLLC,78bd567236ce0d79cae4c7d72afd0eae316d172034d6ec80e2b38c0434d7c5c0
LB-537660,"LSF LOGAN AIRPORT, LLC",Legal Sea Foods,CV7 All Alc.,LSFLOGANAIRPORTLLC,7975332fffd5e0af3ac8a25d4bf008ba31980d5da188c63f6389d43e464ccd78
LB-99063,CMG 225 Northern Ave LLC,,CV7 All Alc.,CMG225NORTHERNAVELLC,7983c12d9e6ec9c99dd4b5518376b5ce5120ba7912102291c2cc7becf565d05e
LB-99439,1928 BEACON HILL LLC,1928 BEACON HILL,CV7 All Alc.,1928BEACONHILLLLC,79ceb86a87a9b316f9312f2b5f1c2c78b0a3115093eff1ea5c3f07dee8f370bf
LB-99350,F. P. Restaurant Inc.,Saraceno/Bella Vista,CV7 All Alc.,FPRESTAURANTINC,7a3626ced6abe37f59be7ba1db9d9045bacfbdf9ca1954fe260307923b49c15b
LB-98940,"Select Oyster, LLC",SELECT OYSTER,CV7 All Alc.,SELECTOYSTERLLC,7aa368cb53ce3a6ed2cbc1c290480babb3ab36f1eefef681aa438df1e88ddf51
LB-99275,"La Flaca y el Gordo, Inc.",PEKA,CV7 All Alc.,LAFLACAYELGORDOINC,7c247ecf579ecaec067bfa9565d0064e03b24377ebaf6fd6c8f0e895c2e0867b
