award_id,generated_award_id,modification,action_date,transaction_amount,recipient_name,recipient_uei,award_type,awarding_subagency,naics_code,naics_description,psc_code,psc_description,description
70CDCR24FR0000012,CONT_AWD_70CDCR24FR0000012_7012_70CDCR20D00000009_7012,P00009,2024-11-21,0.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,ADDING FUNDS FOR DETENTION SERVICES AT DESERT VIEW FOR LOS AOR
70CDCR25FR0000005,CONT_AWD_70CDCR25FR0000005_7012_70CDCR22D00000001_7012,P00002,2024-11-22,4865200.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY"
70CDCR24FR0000049,CONT_AWD_70CDCR24FR0000049_7012_70CDCR20D00000011_7012,P00007,2024-11-29,466062.24,B.I. INCORPORATED,PKK6L9KLMYR5,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"FUNDING FOR INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) IV CLIN 4001, IN RESPONSE TO AN UPDATED WAGE DETERMINATION REQUEST FOR EQUITABLE ADJUSTMENT"
70CDCR25FR0000009,CONT_AWD_70CDCR25FR0000009_7012_70CDCR20D00000009_7012,0,2024-12-20,7277608.26,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,DETENTION SERVICES FOR LOS ANGELES AOR AT ADELANTO DETENTION FACILITY
70CDCR25FR0000010,CONT_AWD_70CDCR25FR0000010_7012_70CDCR20D00000009_7012,0,2024-12-20,2810964.09,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,DETENTION SERVICES DESERT VIEW (DV) ANNEX IN THE LOS ANGELES AREA OF RESPONSIBILITY
70CDCR25FR0000013,CONT_AWD_70CDCR25FR0000013_7012_70CDCR20D00000008_7012,0,2024-12-20,4936059.23,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,HOUSING FOR DETAINEES
70CDCR24FC0000004,CONT_AWD_70CDCR24FC0000004_7012_HSCEDM14A00001_7012,P00006,2024-12-27,732955.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,BPA CALL,U.S. Immigration and Customs Enforcement,922140,CORRECTIONAL INSTITUTIONS,S206,HOUSEKEEPING- GUARD,RIO GRANDE DETENTION CENTER FUNDING MOD
70CDCR24FR0000001,CONT_AWD_70CDCR24FR0000001_7012_70CDCR22D00000001_7012,P00013,2025-01-13,-324852.49,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY"
70CDCR24FR0000038,CONT_AWD_70CDCR24FR0000038_7012_70CDCR20D00000012_7012,P00003,2025-01-13,5079487.09,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,922140,CORRECTIONAL INSTITUTIONS,S206,HOUSEKEEPING- GUARD,DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC) FY24 TASK ORDER
70CDCR24FR0000056,CONT_AWD_70CDCR24FR0000056_7012_HSCEDM17D00009_7012,P00003,2025-01-13,4766834.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,MONTGOMERY PROCESSING CTR FY24
