idv_piid,recipient_legal_name,recipient_uei,idv_type,facility_or_service,period_start,ordering_period_end,potential_total_value,task_order_or_call_count,linked_order_obligations_highergov,child_piids,psc_code,naics_code,offers_received,extent_competed,solicitation_procedures,solicitation_identifier,description,highergov_url
70CDCR18A00000007,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,BPA,Robert A. Deyton Detention Facility,2018-07-16,2028-07-22,0.0,9,8312339.25,70CDCR18FC0000028|70CDCR19FC0000012|70CDCR20FC0000019|70CDCR21FC0000011|70CDCR22FC0000012|70CDCR23FC0000014|70CDCR24FC0000005|70CDCR25FC0000007|70CDCR26FC0000004,S206,922140,,,,,"THIS IS AN AGREEMENT BETWEEN ODT AND ICE TO RIDE CONTRACT ODT-8-C-0005 WITH THE GEO GROUP INC. AT THE ROBERT A. DEYTON DETENTION FACILITY LOCATED IN LOVEJOY, GA",https://www.highergov.com/idv/70CDCR18A00000007/
70CDCR19D00000001,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Other ICE service — unresolved from description,2018-12-04,2019-12-05,52409088.0,2,51735027.92,70CDCR19FIGR00292|70CDCR19FR0000005,S206,561210,1,Not Competed,Sole Source,,,https://www.highergov.com/idv/70CDCR19D00000001/
70CDCR19D00000004,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Mesa Verde ICE Processing Center,2019-03-19,2020-03-18,20003004.0,1,13525413.8,70CDCR19FR0000020,S206,561210,1,Not Competed,Sole Source,,TO PROVIDE DETENTION SERVICES AT THE MESA VERDE ICE PROCESSING CENTER,https://www.highergov.com/idv/70CDCR19D00000004/
70CDCR19D00000011,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Detention services — facility unresolved from description,2019-06-25,2020-03-25,64364912.19,1,37878569.3,70CDCR19FR0000058,S206,561210,1,Not Competed,Sole Source,,DETENTION SERVICES,https://www.highergov.com/idv/70CDCR19D00000011/
70CDCR20D00000003,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,South Texas ICE Processing Center,2019-12-03,2020-08-05,34333800.0,1,32325878.24,70CDCR20FR0000005,S206,561612,1,Not Competed,Sole Source,200005,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),https://www.highergov.com/idv/70CDCR20D00000003/
70CDCR20D00000008,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,San Francisco AOR detention services,2019-12-19,2034-12-20,1685820586.8,7,354568632.66,70CDCR20FR0000007|70CDCR21FR0000003|70CDCR22FR0000012|70CDCR23FR0000009|70CDCR24FR0000010|70CDCR25FR0000013|70CDCR26FR0000042,S206,561612,1,Full And Open Competition,Negotiated Proposal/Quote,70CDCR20R00000002,DETENTION SERVICES FOR SAN FRANCISCO AREA OF RESPONSIBILITY,https://www.highergov.com/idv/70CDCR20D00000008/
70CDCR20D00000009,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Los Angeles AOR detention services,2019-12-20,2029-12-19,2147338886.74,10,815613686.19,70CDCR20FR0000008|70CDCR21FR0000004|70CDCR22FR0000010|70CDCR23FR0000014|70CDCR24FR0000011|70CDCR24FR0000012|70CDCR25FR0000009|70CDCR25FR0000010|70CDCR26FR0000028|70CDCR26FR0000031,S206,561612,1,Full And Open Competition,Negotiated Proposal/Quote,70CDCR20R00000002,DETENTION SERVICES FOR LOS ANGELES AOR,https://www.highergov.com/idv/70CDCR20D00000009/
70CDCR20D00000012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Transportation/removal services,2020-08-06,2030-08-05,609272381.53,6,334821783.83,70CDCR20FR0000050|70CDCR21FR0000051|70CDCR22FR0000041|70CDCR23FR0000045|70CDCR24FR0000038|70CDCR25FR0000091,S206,922140,1,Full And Open Competition,Negotiated Proposal/Quote,70CDCR20R0000001,"DETENTION AND TRANSPORTATION SERVICES PROVIDED AT THE SOUTH TEXAS ICE PROCESSING CENTER (STIPC). INCLUDES HOUSING, MEDICAL CARE, TRANSPORTATION, GUARD SERVICES, MEALS, AND MEETING THE DAY-TO-DAY NEEDS FOR ICE DETAINEES AT THIS CONTRACTOR-OPERATED FACILITY.",https://www.highergov.com/idv/70CDCR20D00000012/
70CDCR21D00000004,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Transportation/removal services,2021-08-27,2026-08-31,216574844.7,5,196608433.73000002,70CDCR21FR0000059|70CDCR22FR0000044|70CDCR23FR0000048|70CDCR24FR0000053|70CDCR25FR0000100,S206,561612,1,Full And Open Competition,Negotiated Proposal/Quote,70CDCR20R00000007,"MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES PROVIDES IMMIGRATION DETENTION AND TRANSPORTATION SERVICES AT BROWARD TRANSITIONAL CENTER IN MIAMI, FLORIDA, IN SUPPORT OF ENFORCEMENT AND REMOVAL OPERATIONS (ERO) MIAMI. INCLUDES HOUSING, SAFEGUARDING, AND TRANSPORTING ICE DETAINEES AT BROWARD TRANSITIONAL CENTER IN POMPANO, FL.",https://www.highergov.com/idv/70CDCR21D00000004/
70CDCR22D00000001,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Transportation/removal services,2021-10-16,2026-10-15,482389108.1,5,274099959.58,70CDCR22FR0000001|70CDCR23FR0000001|70CDCR24FR0000001|70CDCR25FR0000005|70CDCR25FR0000111,S206,561210,1,Full And Open Competition,Negotiated Proposal/Quote,70CDCR21R00000002,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES PROVIDED FOR THE DENVER (AURORA) CONTRACT DETENTION FACILITY. THE FACILITY IS CAPABLE OF HOUSING AN ESTIMATED POPULATION OF 1,360 MALES, FEMALES, AND TRANSGENDER INDIVIDUALS IN HIGH, MEDIUM, AND LOW CUSTODIAL SETTINGS. SERVICES INCLUDE COMPREHENSIVE CONTRACT DETENTION AND TRANSPORTATION FOR THE DENVER, COLORADO AREA OF RESPONSIBILITY (DEN AOR).",https://www.highergov.com/idv/70CDCR22D00000001/
70CDCR25D00000007,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Transportation/removal services,2025-03-01,2035-02-28,788696563.38,2,81317673.24000001,70CDCR25FR0000029|70CDCR26FR0000050,S206,561612,2,Full And Open Competition,Negotiated Proposal/Quote,70CDCR24R00000012,"THE PURPOSE OF THIS INDEFINITE DELIVERY INDEFINITE QUANTITY (IDIQ) IS FOR COMPREHENSIVE DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR ICE ALIENS AT THE DELANEY HALL CONTRACT DETENTION FACILITY IN NEWARK, NEW JERSEY. WORK PERFORMED INCLUDES DETENTION SERVICES, TRANSPORTATION SERVICES, AND MEDICAL SERVICES FOR ICE DETAINEES. ADDITIONAL REQUIREMENTS INCLUDE ONBOARDING AND SECURITY MEASURES FOR PERSONNEL. THE CONTRACT ALSO PROVIDES FOR TRANSITION SERVICES NECESSARY FOR HOUSING ICE ALIENS AT THE FACILITY.",https://www.highergov.com/idv/70CDCR25D00000007/
70CDCR25D00000009,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Transportation/removal services,2025-03-18,2027-07-20,223149683.48,2,93000792.31,70CDCR25FR0000037|70CDCR25FR0000096,S206,561612,1,Not Competed,Sole Source,,"THE PURPOSE OF THIS UNDEFINITIZED LETTER CONTRACT IS FOR COMPREHENSIVE HOUSING, TRANSPORTATION, AND MEDICAL SERVICES FOR ICE ALIENS AT THE NORTH LAKE DETENTION FACILITY IN BALDWIN, MI. ADDITIONAL WORK INCLUDES PROVIDING COMPREHENSIVE DETENTION AND TRANSPORTATION SERVICES FOR HOUSING CRIMINAL ALIENS AT THE FACILITY, AND ESTABLISHING A DETENTION FACILITY WITHIN NORTH LAKE CORRECTIONAL FACILITY IN SUPPORT OF THE PRESIDENT'S DECLARATION OF A NATIONAL EMERGENCY AT THE SOUTHERN BORDER.",https://www.highergov.com/idv/70CDCR25D00000009/
70CDCR25D00000016,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Detention services — facility unresolved from description,2025-05-17,2027-05-16,145614940.92,1,250.0,70CDCR25FR0000075,S206,561612,54,Full And Open Competition,Negotiated Proposal/Quote,70CDCR25R00000005,EMERGENCY DETENTION AND RELATED SERVICES FOR ALIENS IN IMMIGRATION AND CUSTOMS ENFORCEMENT CUSTODY IN RESPONSE TO THE BORDER EMERGENCY WITHIN AND OUTSIDE OF THE CONTIGUOUS UNITED STATES.,https://www.highergov.com/idv/70CDCR25D00000016/
70CDCR26D00000026,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Transportation/removal services,2026-03-28,2026-10-27,69061134.27,1,39042746.99,70CDCR26FR0000055,S206,561612,1,Not Competed,Sole Source,70CDCR26R00000007,"SOLE SOURCE DETENTION FACILITY AT TACOMA, WA TO PROVIDE COMPREHENSIVE HOUSING AT THE NORTHWEST ICE PROCESSING CENTER. IN ADDITION TO HOUSING, THE FACILITY PERFORMS DETENTION AND TRANSPORTATION SERVICES AT THE NORTHWEST ICE DETENTION CENTER IN SUPPORT OF THE SEATTLE AREA OF RESPONSIBILITY.",https://www.highergov.com/idv/70CDCR26D00000026/
70CDCR26D00000049,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Big Horn Contract Detention Facility,2026-07-09,2031-07-08,528678643.44,0,0,,S206,561612,1,Not Competed,Sole Source,,"THIS CONTRACT PROVIDES DETENTION AND DETENTION RELATED SERVICES AT THE BIG HORN CONTRACT DETENTION FACILITY IN HUDSON, COLORADO.",https://www.highergov.com/idv/70CDCR26D00000049/
