record_type,program,award_id,parent_award_id,recipient,uei,solicitation_id,start_date,current_or_ordering_end,potential_end,obligated_amount,potential_value,offers,competition,procedure_or_pricing,description,primary_or_structured_source
task_order,ISAP IV,70CDCR20FR0000023,70CDCR20D00000011,B.I. Incorporated,PKK6L9KLMYR5,70CDCR19R00000002,2020-03-23,2021-07-31,2021-07-31,151182337.45,151182337.45,,Full And Open Competition,Negotiated Proposal/Quote,ISAP IV,HigherGov award record
task_order,ISAP IV,70CDCR21FR0000044,70CDCR20D00000011,B.I. Incorporated,PKK6L9KLMYR5,70CDCR19R00000002,2021-08-01,2022-07-31,2025-07-31,300396838.93,300396838.93,,Full And Open Competition,Negotiated Proposal/Quote,ISAP IV,HigherGov award record
task_order,ISAP IV,70CDCR22FR0000034,70CDCR20D00000011,B.I. Incorporated,PKK6L9KLMYR5,70CDCR19R00000002,2022-08-01,2023-07-31,2023-07-31,440305597.58,440305597.58,,Full And Open Competition,Negotiated Proposal/Quote,ISAP IV,HigherGov award record
task_order,ISAP IV,70CDCR23FR0000042,70CDCR20D00000011,B.I. Incorporated,PKK6L9KLMYR5,70CDCR19R00000002,2023-08-01,2024-07-31,2024-07-31,286112087.46,286112087.46,,Full And Open Competition,Negotiated Proposal/Quote,ISAP IV,HigherGov award record
task_order,ISAP IV,70CDCR24FR0000049,70CDCR20D00000011,B.I. Incorporated,PKK6L9KLMYR5,70CDCR19R00000002,2024-08-01,2025-09-30,2025-09-30,270648323.50,270648323.50,,Full And Open Competition,Negotiated Proposal/Quote,ISAP IV,HigherGov award record
parent_idv,ISAP V,70CDCR25D00000062,,B.I. Incorporated,PKK6L9KLMYR5,70CDCR25R00000018,2025-09-30,2026-09-29,,108343853.00,1027594113.39,2,Full And Open Competition,Negotiated Proposal/Quote,"Single-award IDIQ; current public award record ends after one year while the solicitation described two one-year ordering periods plus FAR 52.217-8",SAM opportunity and HigherGov award record
task_order,ISAP V,70CDCR25FR0000127,70CDCR25D00000062,B.I. Incorporated,PKK6L9KLMYR5,70CDCR25R00000018,2025-09-30,2026-09-29,2026-09-29,108343853.00,108343853.00,,Full And Open Competition,Fixed Price,"ISAP V case management and technology task order; current obligations include three skip-tracing modifications",USAspending and HigherGov award records
transaction,ISAP V,70CDCR25FR0000127,70CDCR25D00000062,B.I. Incorporated,PKK6L9KLMYR5,70CDCR25R00000018,2025-09-30,,,21966324.91,,,Fixed Price,Base task order for ISAP V,USAspending transaction record
transaction,ISAP V,70CDCR25FR0000127 P00001,70CDCR25D00000062,B.I. Incorporated,PKK6L9KLMYR5,70CDCR25R00000018,2025-09-30,,,16103.09,,,Fixed Price,Additional ISAP V funding,USAspending transaction record
transaction,ISAP V,70CDCR25FR0000127 P00002,70CDCR25D00000062,B.I. Incorporated,PKK6L9KLMYR5,70CDCR25R00000018,2025-10-30,,,690000.00,,,Fixed Price,Adds funding for skip tracing services,USAspending transaction record
transaction,ISAP V,70CDCR25FR0000127 P00003,70CDCR25D00000062,B.I. Incorporated,PKK6L9KLMYR5,70CDCR25R00000018,2025-12-17,,,9660000.00,,,Fixed Price,Adds funding for Attachment 4 pricing schedule item 42 skip tracing services,USAspending transaction record
transaction,ISAP V,70CDCR25FR0000127 P00004,70CDCR25D00000062,B.I. Incorporated,PKK6L9KLMYR5,70CDCR25R00000018,2026-01-27,,,76011425.00,,,Fixed Price,Adds funding for Attachment 4 pricing schedule item 42 skip tracing services,USAspending transaction record
parent_idv,ICE Skip Tracing,70CDCR26D00000005,,B.I. Incorporated,PKK6L9KLMYR5,26SOLDCR01,2025-12-16,2027-12-15,,,121837500.00,51,Full And Open Competition,Negotiated Proposal/Quote,"One of 14 multiple-award IDIQs; public solicitation maximum was $281.25 million per IDIQ after Amendment 2",SAM opportunity and HigherGov award record
task_order,ICE Skip Tracing,70CDCR26FR0000021,70CDCR26D00000005,B.I. Incorporated,PKK6L9KLMYR5,26SOLDCR01,2025-12-16,2026-05-14,2026-11-27,1624500.00,1624500.00,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,"Task order for skip tracing; P00001 extended performance by 60 days with zero added obligation",USAspending and HigherGov award records
peer_parent_idv,ICE Skip Tracing,70CDCR26D00000003,,Enprovera,XWMMKN745MS5,26SOLDCR01,2025-12-16,2027-12-15,,,2631300.00,51,Full And Open Competition,Negotiated Proposal/Quote,Peer awardee,HigherGov award record
