ma_id,entity_id,entity_name,review_level,formation_or_registration_date,status_as_reported,people_and_roles,finding_ids,source_url,source_artifact
001391493,7200,77 MONTGOMERY STREET LLC,official role index only,,not established,HOUSSAM ALI HASSAN — SOC SIGNATORY; HOUSSAM ALI HASSAN — REAL PROPERTY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=rePNWvKrfuP7PmP._fpIw5xymRc6EZFWlj4Nq6w3J8E-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan-page2.txt
001394127,7201,81 WARREN AVENUE LLC,official role index only,,not established,HOUSSAM ALI HASSAN — MANAGER; HOUSSAM ALI HASSAN — SOC SIGNATORY; HOUSSAM ALI HASSAN — REAL PROPERTY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=tgKTbcNsjE9iq3TauF20E5rybk3KluAag48CPQ5K1bU-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan-page2.txt
001009748,7217,9 WELLINGTON LLC,official role index only,,not established,HOUSSAM HASSAN — SOC SIGNATORY; HOUSSAM HASSAN MR — MANAGER; HOUSSAM HASSAN MR — REAL PROPERTY; HOUSSAM HASSAN MR — SOC SIGNATORY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=X4e3trnt6breiCGuOAWM2SNoRg0JQn.fMyjZ8bI4WQU-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan.txt
001028056,7232,95 PEMBROKE LLC,official entity summary and filing index; see report for PDFs inspected,05-10-2010,Date of Cancellation: 10-25-2011,"HOUSSAM ALI HASSAN — MANAGER, SOC SIGNATORY, REAL PROPERTY, RESIDENT AGENT; ANTHONY SUMMERS — SOC SIGNATORY, REAL PROPERTY",15537,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=Sx6FTLvAIATIuN8ZrPGh2hzHPuGdDD61PyNWrHAYgM4-,investigations/hassan-boston/evidence/corporate/entity-001028056.txt
001233499,7228,ALAIA LLC,official role index only,,not established,TAREK ALI HASSAN — REAL PROPERTY; TAREK ALI HASSAN — MANAGER; TAREK ALI HASSAN — SOC SIGNATORY,15535,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=2vewW_P7efhO8_aDOokot167rRVcGxHdUFbZ2Lqzod0-,investigations/hassan-boston/evidence/corporate/search-tarek-hassan.txt
042659122,7194,"ALANA, INC.",official entity summary and filing index; see report for PDFs inspected,11-02-1976,Date of Involuntary Dissolution by Court Order or by the SOC: 06-30-2017,"HICHAM ALI HASSAN — PRESIDENT, TREASURER, SECRETARY, DIRECTOR, RESIDENT AGENT",15530,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=RvwRL6V34LLJJ6alhQk.CxS6Q15DmfSAIewr5CaZbIY-,investigations/hassan-boston/evidence/corporate/entity-042659122.txt
000964551,7218,"APPLETON DESIGN, LLC",official role index only,,not established,HOUSSAM HASSAN — MANAGER; HOUSSAM HASSAN — SOC SIGNATORY; HOUSSAM HASSAN — REAL PROPERTY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=trt_wnLbDsDVRKwA_QU9mbYkMtqEyxYIr2VAa9bpcX8-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan.txt
001871901,7193,CNCPTS LLC,official entity summary and filing index; see report for PDFs inspected,02-28-2025,not established,TAREK ALI HASSAN — REAL PROPERTY,15529; 15535,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=ih1ekJP.fd9VertPhggLl27yhxGcVbFMOK3tdcvlTo8-,investigations/hassan-boston/evidence/corporate/entity-001871901.txt
001249488,7188,CONCEPTS 73 LLC,official entity summary and filing index; see report for PDFs inspected,11-28-2016,Date of Involuntary Dissolution by Court Order or by the SOC: 12-30-2022,"TAREK ALI HASSAN — MANAGER, SOC SIGNATORY, REAL PROPERTY, RESIDENT AGENT",15524; 15535,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=8W53FtHuoIr6tawG.hhEpH_FFc.DcDHzSBAVuKpE65E-,investigations/hassan-boston/evidence/corporate/entity-001249488.txt
000991324,7222,"DWIGHT TOWNHOUSE, LLC",official role index only,,not established,HOUSSAM HASSAN MR — MANAGER; HOUSSAM HASSAN MR — SOC SIGNATORY; HOUSSAM HASSAN MR — REAL PROPERTY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=qj87u1XHXHIZTMwO9hM5mry4InHBEhv7LuIgLSb7esE-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan.txt
